Fairness: 0.9777733052001764
        CTT  Throughput  ThroughputNorm
0    1000.0   16.997400        1.019844
1    2000.0   33.659353        1.009781
2    3000.0   50.321376        1.006428
3    4000.0   66.988591        1.004829
4    4500.0   75.320450        1.004273
5    5000.0   83.631463        1.003578
6    6000.0  100.275766        1.002758
7    6500.0  107.969061        0.996637
8    7000.0  115.441803        0.989501
9    8000.0  124.896521        0.936724
10   9000.0  125.274319        0.835162
11  12000.0   99.970758        0.499854
