ctt,r,b,swpd,libero,buff,cache,si,so,bi,bo,inn,cs,us,sy,id,wa,st
1000.0,0.6786885245901639,0.002185792349726776,256.0,132330.76721311474,51027.02513661203,1062109.5999999999,0.0,0.0,0.7442622950819672,17.866666666666664,2205.7857923497268,1050.831693989071,4.46120218579235,13.90054644808743,81.57704918032788,0.002185792349726776,0.0
2000.0,0.6306010928961748,0.0,256.0,133688.12677595628,53812.004371584706,1047261.6306010928,0.0,0.0,2.1781420765027324,19.394535519125682,3375.0918032786885,893.9628415300546,4.575956284153006,20.556284153005464,74.8032786885246,0.006557377049180327,0.0
3000.0,1.0721311475409836,0.0,256.0,157842.52677595627,56325.64371584699,1014461.092896175,0.0,0.0,0.4273224043715847,19.19781420765027,5016.398907103826,966.3234972677595,5.017486338797815,29.775956284153,65.16830601092896,0.001092896174863388,0.0
4000.0,1.1169398907103825,0.0,256.0,151127.79016393443,58370.369398907096,1021989.7049180329,0.0,0.0,0.36174863387978146,21.63169398907104,6745.994535519126,1121.326775956284,5.579234972677596,39.11912568306011,55.30273224043716,0.0032786885245901635,0.0
4500.0,1.2240437158469943,0.0,256.0,117843.23934426229,65486.13770491802,1051388.275409836,0.0,0.0,0.20546448087431693,22.59016393442623,7562.834972677596,1207.816393442623,5.881967213114755,44.003278688524595,50.09945355191257,0.002185792349726776,0.0
5000.0,1.6207650273224044,0.001092896174863388,256.0,136393.49945355192,60785.84043715847,1031573.875409836,0.0,0.0,0.2699453551912568,23.64808743169399,8483.63387978142,1276.2677595628415,6.351912568306012,48.773770491803276,44.87868852459017,0.0032786885245901635,0.0
6000.0,3.445901639344262,0.0,256.0,116148.75628415302,63271.361748633884,1042668.5027322405,0.0,0.0,0.22950819672131148,26.123497267759564,11647.268852459014,1438.2054644808743,7.565027322404371,64.91803278688525,27.54535519125683,0.002185792349726776,0.0
6500.0,6.685245901639345,0.0,0.0,245478.60109289616,49834.97267759563,963824.4546448087,0.0,0.0,42.33879781420765,28.89617486338798,13720.175956284153,1672.2010928961747,8.698360655737707,79.43497267759564,11.920218579234971,0.002185792349726776,0.0
7000.0,7.734426229508197,0.001092896174863388,256.0,121834.3956284153,67852.57704918033,1023587.5934426229,0.0,0.0,0.17377049180327866,27.712568306010926,13646.978142076501,1768.975956284153,8.914754098360655,81.29836065573771,9.797814207650273,0.001092896174863388,0.0
8000.0,16.66448087431694,0.002185792349726776,11520.0,212887.67650273224,66939.9081967213,916228.0393442622,0.0,0.0032786885245901635,0.28524590163934427,28.09726775956284,14214.166120218579,2190.1562841530053,9.250273224043717,87.84262295081969,2.915846994535519,0.0,0.0
9000.0,21.086338797814207,0.0,11520.0,165418.97267759565,69886.53114754098,943735.5584699454,0.0,0.0032786885245901635,0.18797814207650274,27.84918032786885,13917.28743169399,2287.8360655737706,8.59344262295082,89.21967213114755,2.1868852459016392,0.001092896174863388,0.0
12000.0,28.589071038251365,0.0032786885245901635,41280.62950819672,232493.51693989072,43726.96830601093,845974.0590163935,2.698360655737705,41.47540983606557,363.78032786885245,949.9420765027322,10738.330054644808,1899.8710382513661,38.42622950819672,61.50601092896175,0.06775956284153005,0.0,0.0
