 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 146260  60496 1029884    0    0    83    26 2944 1125  7 18 75  0  0
 0  0    256 146260  60496 1029836    0    0     0    40 1222  935  7  7 86  0  0
 1  0    256 146260  60496 1029816    0    0     0     0 8096 1293  7 46 46  0  0
 0  0    256 146008  60508 1029816    0    0     0   656 7415 1320  4 51 45  0  0
 1  0    256 145336  60508 1029832    0    0     0    32 10551 1503  7 58 35  0  0
 0  0    256 145336  60508 1029852    0    0     0     0 7601 1431  8 52 40  0  0
 0  0    256 145336  60508 1029856    0    0     0     4 9513 1493  8 58 34  0  0
 0  0    256 145336  60508 1029864    0    0     0     0 8471 1471  5 57 38  0  0
 2  0    256 145336  60516 1029868    0    0     0    36 12265 1533  7 73 21  0  0
 1  0    256 145336  60516 1029900    0    0     0   220 8918 1484  7 52 41  0  0
 0  0    256 145336  60516 1029908    0    0     0     0 10201 1601  8 67 25  0  0
 0  0    256 145336  60516 1029920    0    0     0     0 10794 1552  7 59 34  0  0
 2  0    256 145336  60516 1029928    0    0     0     4 9888 1405  6 55 39  0  0
 1  0    256 145336  60524 1029932    0    0     0    28 12000 1443  6 69 25  0  0
 0  0    256 145336  60524 1029948    0    0     0    64 7575 1154  5 47 49  0  0
 0  0    256 145336  60524 1029960    0    0     0     0 9722 1213  6 50 44  0  0
 0  0    256 145336  60524 1029976    0    0     0     0 5169 1196  6 38 56  0  0
 0  0    256 145336  60524 1029980    0    0     0     0 10825 1276  6 54 40  0  0
 3  0    256 143768  60532 1029980    0    0     0    48 8846 1303  6 56 38  0  0
 2  0    256 143768  60532 1030004    0    0     0    56 8091 1130  8 41 51  0  0
 1  0    256 143768  60532 1030020    0    0     0     0 9446 1743 10 52 38  0  0
 3  0    256 143768  60532 1030028    0    0     0     0 7381 1199  7 42 51  0  0
 0  0    256 143768  60532 1030044    0    0     0     0 8068 1274  9 49 43  0  0
 1  0    256 143768  60540 1030052    0    0     0    28 7871 1257  6 46 48  0  0
 4  0    256 143768  60540 1030064    0    0     0    68 9477 1230  6 55 39  0  0
 1  0    256 143768  60540 1030072    0    0     0     0 7784 1107  4 45 51  0  0
 1  0    256 143768  60540 1030080    0    0     0     0 9625 1427  6 58 36  0  0
 2  0    256 143768  60540 1030096    0    0     0     0 11707 1247  7 56 37  0  0
 0  0    256 143768  60548 1030108    0    0     0    44 4468 1165  7 34 59  0  0
 1  0    256 143768  60548 1030120    0    0     0    56 7850 1124  6 40 54  0  0
 3  0    256 143768  60548 1030132    0    0     0     4 8847 1176  6 47 46  0  0
 0  0    256 143768  60548 1030140    0    0     0     0 6330 1152  6 39 55  0  0
 1  0    256 143768  60548 1030148    0    0     0     0 8067 1139  7 39 54  0  0
 0  0    256 143768  60556 1030152    0    0     0    28 4929 1120  5 35 60  0  0
 1  0    256 143768  60556 1030172    0    0     0    60 7063 1126  3 43 54  0  0
 1  0    256 143768  60556 1030180    0    0     0     0 11265 1226  4 59 37  0  0
 1  0    256 143768  60556 1030192    0    0     0     4 7478 1211  7 44 49  0  0
 1  0    256 142648  60556 1030200    0    0     0     0 11018 1319  6 63 31  0  0
 2  0    256 142648  60564 1030196    0    0     0    28 9530 1413  6 55 39  0  0
 2  0    256 142648  60564 1030216    0    0     0    68 7077 1198  7 44 48  0  0
 1  0    256 142648  60564 1030236    0    0     0     0 10180 1069  3 51 46  0  0
 0  0    256 142648  60564 1030244    0    0     0     0 6961 1268  5 46 49  0  0
 0  0    256 137272  60564 1030256    0    0     0     4 10560 1282  9 54 37  0  0
 3  0    256 137272  60564 1030272    0    0     0     0 7420 1221  9 43 49  0  0
 0  0    256 137272  60572 1030284    0    0     0    28 7796 1191  6 45 48  0  0
 3  0    256 137272  60572 1030292    0    0     0    60 10920 1220  6 58 36  0  0
 0  0    256 137272  60572 1030296    0    0     0     0 10045 1272  5 54 41  0  0
 0  0    256 137272  60572 1030312    0    0     0     0 7173 1208  6 46 49  0  0
 1  0    256 137272  60572 1030328    0    0     0     8 8558 1232  5 45 49  0  0
 0  0    256 137272  60580 1030336    0    0     0    60 7593 1196  8 44 48  0  0
 0  0    256 137272  60580 1030348    0    0     0    56 8519 1075  5 44 51  0  0
 0  0    256 137272  60580 1030360    0    0     0     0 9230 1291  7 50 43  0  0
 2  0    256 137272  60580 1030360    0    0     0     0 7101 1231  5 46 50  0  0
 0  0    256 137272  60580 1030380    0    0     0     0 10775 1307  7 59 34  0  0
 1  0    256 137272  60588 1030392    0    0     0    32 7153 1248  7 47 46  0  0
 2  0    256 137272  60588 1030404    0    0     0    60 9156 1091  8 46 47  0  0
 1  0    256 137272  60588 1030416    0    0     0     0 7651 1227  9 45 46  0  0
 0  0    256 137272  60588 1030424    0    0     0     0 8900 1273  7 48 45  0  0
 2  0    256 137272  60588 1030428    0    0     0     0 9202 1321  7 54 39  0  0
 4  0    256 137272  60596 1030448    0    0     0    44 10403 1214  6 53 41  0  0
 1  0    256 137272  60596 1030456    0    0     0    64 9590 1301  5 55 40  0  0
 5  0    256 137272  60596 1030468    0    0     0     0 10358 1303  9 52 39  0  0
 5  0    256 137272  60596 1030480    0    0     0     0 6826 1317  7 42 51  0  0
 0  0    256 137272  60596 1030484    0    0     0     0 10002 1374  6 55 39  0  0
 4  0    256 137272  60604 1030500    0    0     0    28 8455 1297  7 48 46  0  0
 1  0    256 137272  60604 1030508    0    0     0    56 10912 1395  6 60 34  0  0
 0  0    256 137272  60604 1030520    0    0     0     4 5528 1223  4 36 59  0  0
 1  0    256 137272  60604 1030536    0    0     0     0 7348 1392  5 44 51  0  0
 2  0    256 137272  60604 1030548    0    0     0     0 7043 1375  7 45 48  0  0
 3  0    256 137272  60612 1030560    0    0     0    44 8463 1344  4 46 50  0  0
 1  0    256 137272  60612 1030568    0    0     0    60 10145 1475  4 60 36  0  0
 1  0    256 137272  60612 1030580    0    0     0     0 9165 1437 10 48 42  0  0
 2  0    256 137272  60612 1030592    0    0     0     4 8344 1480  7 57 36  0  0
 2  0    256 137272  60612 1030600    0    0     0     0 8361 1383  6 49 44  0  0
 2  0    256 137272  60620 1030608    0    0     0    28 7209 1315  8 44 47  0  0
 2  0    256 137272  60620 1030616    0    0     0    56 11664 1221  4 60 36  0  0
 0  0    256 137272  60620 1030632    0    0     0     0 8818 1317  6 55 39  0  0
 0  0    256 137272  60620 1030632    0    0     0     0 8821 1249  6 44 49  0  0
 3  0    256 137272  60620 1030652    0    0     0     4 9114 1334  7 53 40  0  0
 3  0    256 137272  60628 1030664    0    0     0    44 11016 1364  7 59 34  0  0
 2  0    256 137272  60628 1030680    0    0     0    60 7329 1144  7 42 51  0  0
 2  0    256 137272  60628 1030700    0    0     0     0 8108 1247  7 48 46  0  0
 0  0    256 137272  60628 1030708    0    0     0     0 6845 1151  4 41 55  0  0
 0  0    256 137272  60628 1030712    0    0     0     0 13167 1411  9 68 23  0  0
 4  0    256 137272  60636 1030720    0    0     0    32 6666 1283  5 47 48  0  0
 0  0    256 137272  60636 1030732    0    0     0    56 12478 1290  8 60 32  0  0
 3  0    256 137272  60636 1030744    0    0     0     0 5106 1046  4 36 60  0  0
 1  0    256 137272  60636 1030752    0    0     0     0 10130 1265  8 51 41  0  0
 0  0    256 137272  60636 1030764    0    0     0     0 5397 1112  5 36 59  0  0
 1  0    256 137272  60644 1030776    0    0     0    28 10961 1329  6 60 34  0  0
 4  0    256 137272  60644 1030784    0    0     0     4 9713 1193  8 53 39  0  0
 1  0    256 137272  60644 1030796    0    0     0    60 12291 1343  7 61 32  0  0
 1  0    256 137272  60644 1030808    0    0     0     0 7042 1305  4 51 45  0  0
 2  0    256 137272  60644 1030820    0    0     0     0 12909 1298  8 61 31  0  0
 2  0    256 137272  60652 1030828    0    0     0    44 3784 1075  5 28 67  0  0
 0  0    256 137272  60652 1030840    0    0     0     0 8721 1127  6 47 48  0  0
 1  0    256 137272  60652 1030856    0    0     0    60 9030 1246  6 51 43  0  0
 2  0    256 137272  60652 1030864    0    0     0     0 8109 1204  4 48 47  0  0
 4  0    256 137272  60652 1030872    0    0     0     0 10651 1247  8 55 37  0  0
 5  0    256 137272  60660 1030888    0    0     0    28 6435 1124  3 40 57  0  0
 0  0    256 137272  60660 1030900    0    0     0     0 9750 1201  7 47 46  0  0
 1  0    256 137272  60660 1030912    0    0     0    60 7210 1298  7 47 45  0  0
 2  0    256 137272  60660 1030916    0    0     0     8 10004 1225  7 48 45  0  0
 1  0    256 137272  60660 1030932    0    0     0     0 4563 1153  4 35 60  0  0
 3  0    256 137272  60668 1030948    0    0     0    60 7122 1015  4 36 60  0  0
 0  0    256 137272  60668 1030956    0    0     0     0 5258 1077  4 30 66  0  0
 0  0    256 137272  60668 1030968    0    0     0    56 4049 1128  6 28 66  0  0
 1  0    256 137272  60668 1030976    0    0     0     0 12274 1320  9 60 31  0  0
 3  0    256 137272  60668 1030988    0    0     0     4 4813 1097  5 33 62  0  0
 4  0    256 137272  60676 1031000    0    0     0    28 8515 1149  4 53 43  0  0
 3  0    256 137272  60676 1031008    0    0     0     0 10196 1273  8 49 42  0  0
 1  0    256 137272  60676 1031020    0    0     0    60 7546 1304  7 47 46  0  0
 1  0    256 137272  60676 1031032    0    0     0     0 8260 1197  7 47 45  0  0
 4  0    256 137272  60676 1031040    0    0     0     0 8107 1231  8 48 43  0  0
 3  0    256 137272  60684 1031052    0    0     0    32 11405 1315  4 63 33  0  0
 3  0    256 137272  60684 1031064    0    0     0     0 11101 1151  7 55 38  0  0
 2  0    256 137272  60684 1031072    0    0     0    56 7231 1267  5 48 48  0  0
 2  0    256 137272  60684 1031084    0    0     0     0 8104 1180  4 45 51  0  0
 0  0    256 137272  60684 1031100    0    0     0     0 9558 1320  6 57 37  0  0
 1  0    256 137272  60692 1031108    0    0     0    44 6742 1159  6 41 53  0  0
 0  0    256 137272  60692 1031120    0    0     0     4 9374 1146  5 50 46  0  0
 0  0    256 137272  60692 1031132    0    0     0    60 5338 1218  6 42 52  0  0
 3  0    256 137272  60692 1031140    0    0     0     0 12561 1399  7 69 25  0  0
 0  0    256 137272  60692 1031152    0    0     0     0 7524 1306  6 50 44  0  0
 2  0    256 137272  60700 1031160    0    0     0    28 8715 1258  4 50 46  0  0
 2  0    256 137272  60700 1031172    0    0     0     0 5886 1309  6 42 52  0  0
 2  0    256 137272  60700 1031184    0    0     0    64 9324 1420  5 51 44  0  0
 1  0    256 137272  60700 1031192    0    0     0     0 7330 1489  8 48 44  0  0
 0  0    256 137272  60700 1031204    0    0     0     0 7963 1264  3 46 51  0  0
 3  0    256 137272  60708 1031216    0    0     0    44 8395 1334  5 52 43  0  0
 7  0    256 137272  60708 1031224    0    0     0     0 12434 1595  9 69 22  0  0
 0  0    256 137272  60708 1031240    0    0     0     0 8859 1532  8 59 34  0  0
 0  0    256 137272  60708 1031252    0    0     0    60 10920 1467  5 61 34  0  0
