r,b,swpd,libero,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,256,159324,58116,1020720,0,0,110,31,2919,1217,7,19,74,0,0
1,0,256,159324,58116,1020664,0,0,0,28,990,942,6,9,85,0,0
1,0,256,159324,58116,1020656,0,0,0,12,8350,1281,6,44,50,0,0
1,0,256,159072,58128,1020672,0,0,0,656,6990,1334,5,42,53,0,0
1,0,256,159072,58128,1020680,0,0,0,32,6650,1268,6,43,51,0,0
2,0,256,159072,58128,1020692,0,0,0,0,7307,1199,5,44,51,0,0
0,0,256,159072,58128,1020700,0,0,0,4,6859,1425,9,48,42,0,0
1,0,256,159072,58128,1020708,0,0,0,0,7837,1332,5,44,51,0,0
0,0,256,159072,58136,1020716,0,0,0,36,7218,1419,7,49,45,0,0
2,0,256,159072,58136,1020724,0,0,0,212,5939,1291,6,36,58,0,0
3,0,256,159072,58136,1020744,0,0,0,0,7511,1203,3,47,50,0,0
1,0,256,159072,58136,1020752,0,0,0,0,6534,1308,7,44,49,0,0
2,0,256,159072,58136,1020752,0,0,0,4,8930,1263,7,47,45,0,0
0,0,256,159072,58144,1020756,0,0,0,32,5701,1162,5,40,55,0,0
1,0,256,155712,58144,1020772,0,0,0,52,12286,1276,6,65,29,0,0
1,0,256,155712,58144,1020780,0,0,0,0,4544,960,4,32,64,0,0
0,0,256,155712,58144,1020788,0,0,0,0,5989,1167,5,38,57,0,0
1,0,256,155712,58144,1020796,0,0,0,0,9134,1256,5,49,45,0,0
2,0,256,155712,58152,1020796,0,0,0,52,6216,1126,7,36,57,0,0
2,0,256,155712,58152,1020812,0,0,0,48,5589,1025,5,34,61,0,0
0,0,256,151904,58152,1020820,0,0,0,0,7574,1302,6,46,49,0,0
0,0,256,151904,58152,1020828,0,0,0,0,3694,1681,6,28,66,0,0
1,0,256,151904,58152,1020840,0,0,0,0,9141,1145,5,49,47,0,0
0,0,256,151904,58160,1020840,0,0,0,28,6839,1131,7,39,54,0,0
1,0,256,151904,58160,1020856,0,0,0,52,3941,924,5,29,66,0,0
1,0,256,151904,58160,1020864,0,0,0,0,5617,999,4,30,66,0,0
0,0,256,151904,58160,1020872,0,0,0,0,5601,1065,6,32,62,0,0
2,0,256,151904,58160,1020880,0,0,0,0,4740,1023,6,31,63,0,0
1,0,256,151904,58168,1020880,0,0,0,28,9521,1095,6,47,48,0,0
1,0,256,151904,58168,1020896,0,0,0,48,7165,1073,5,41,54,0,0
2,0,256,151904,58168,1020904,0,0,0,4,4668,1126,7,34,59,0,0
1,0,256,151904,58168,1020916,0,0,0,0,6617,1016,4,36,60,0,0
0,0,256,151904,58168,1020928,0,0,0,0,7285,1132,5,42,53,0,0
1,0,256,151904,58168,1020936,0,0,0,0,5921,1039,6,35,59,0,0
0,0,256,151904,58176,1020944,0,0,0,92,4461,877,3,28,69,0,0
0,0,256,151904,58176,1020952,0,0,0,0,5700,1114,7,34,59,0,0
