timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699454923498,85,Request5,200,OK,Thread Group 1 1-1,bin,true,,5982347,131,1,1,http://192.168.109.128/EXTRALARGE.jpg,40,0,31
1699454923585,10,Request4,200,OK,Thread Group 1 1-1,bin,true,,1088234,126,1,1,http://192.168.109.128/LARGE.jpg,2,0,0
1699454923613,4,Request3,200,OK,Thread Group 1 1-2,bin,true,,100787,127,2,2,http://192.168.109.128/MEDIUM.jpg,3,0,1
1699454923705,2,Request3,200,OK,Thread Group 1 1-1,bin,true,,100786,127,2,2,http://192.168.109.128/MEDIUM.jpg,2,0,0
1699454923814,8,Request4,200,OK,Thread Group 1 1-3,bin,true,,1088235,126,3,3,http://192.168.109.128/LARGE.jpg,2,0,1
1699454923858,7,Request4,200,OK,Thread Group 1 1-2,bin,true,,1088234,126,3,3,http://192.168.109.128/LARGE.jpg,2,0,0
1699454923952,8,Request4,200,OK,Thread Group 1 1-1,bin,true,,1088234,126,3,3,http://192.168.109.128/LARGE.jpg,3,0,0
1699454924017,4,Request3,200,OK,Thread Group 1 1-4,bin,true,,100787,127,4,4,http://192.168.109.128/MEDIUM.jpg,3,0,1
1699454924175,10,Request4,200,OK,Thread Group 1 1-3,bin,true,,1088234,126,4,4,http://192.168.109.128/LARGE.jpg,2,0,0
1699454924224,2,Request3,200,OK,Thread Group 1 1-2,bin,true,,100786,127,5,5,http://192.168.109.128/MEDIUM.jpg,2,0,0
1699454924225,31,Request5,200,OK,Thread Group 1 1-5,bin,true,,5982347,131,5,5,http://192.168.109.128/EXTRALARGE.jpg,2,0,1
1699454924315,3,Request1,200,OK,Thread Group 1 1-1,bin,true,,16891,131,5,5,http://192.168.109.128/EXTRASMALL.jpg,3,0,0
1699454924426,9,Request4,200,OK,Thread Group 1 1-6,bin,true,,1088235,126,6,6,http://192.168.109.128/LARGE.jpg,3,0,1
1699454924504,12,Request4,200,OK,Thread Group 1 1-4,bin,true,,1088234,126,6,6,http://192.168.109.128/LARGE.jpg,2,0,0
1699454924614,8,Request4,200,OK,Thread Group 1 1-7,bin,true,,1088235,126,7,7,http://192.168.109.128/LARGE.jpg,2,0,1
1699454924660,8,Request4,200,OK,Thread Group 1 1-3,bin,true,,1088234,126,7,7,http://192.168.109.128/LARGE.jpg,2,0,0
1699454924815,4,Request1,200,OK,Thread Group 1 1-8,bin,true,,16892,131,8,8,http://192.168.109.128/EXTRASMALL.jpg,3,0,2
1699454924830,3,Request1,200,OK,Thread Group 1 1-5,bin,true,,16891,131,8,8,http://192.168.109.128/EXTRASMALL.jpg,3,0,0
1699454924814,41,Request5,200,OK,Thread Group 1 1-2,bin,true,,5982346,131,8,8,http://192.168.109.128/EXTRALARGE.jpg,2,0,0
1699454924906,3,Request1,200,OK,Thread Group 1 1-1,bin,true,,16891,131,8,8,http://192.168.109.128/EXTRASMALL.jpg,3,0,0
1699454925017,31,Request5,200,OK,Thread Group 1 1-9,bin,true,,5982347,131,9,9,http://192.168.109.128/EXTRALARGE.jpg,2,0,1
1699454925154,35,Request5,200,OK,Thread Group 1 1-6,bin,true,,5982346,131,9,9,http://192.168.109.128/EXTRALARGE.jpg,2,0,0
1699454925231,2,Request1,200,OK,Thread Group 1 1-4,bin,true,,16891,131,10,10,http://192.168.109.128/EXTRASMALL.jpg,2,0,0
1699454925216,34,Request5,200,OK,Thread Group 1 1-10,bin,true,,5982347,131,10,10,http://192.168.109.128/EXTRALARGE.jpg,4,0,3
1699454925419,11,Request4,200,OK,Thread Group 1 1-11,bin,true,,1088235,126,11,11,http://192.168.109.128/LARGE.jpg,5,0,2
1699454925464,25,Request5,200,OK,Thread Group 1 1-7,bin,true,,5982346,131,11,11,http://192.168.109.128/EXTRALARGE.jpg,2,0,0
1699454925495,5,Request4,200,OK,Thread Group 1 1-3,bin,true,,1088234,126,11,11,http://192.168.109.128/LARGE.jpg,1,0,0
1699454925621,28,Request5,200,OK,Thread Group 1 1-12,bin,true,,5982347,131,12,12,http://192.168.109.128/EXTRALARGE.jpg,3,0,1
1699454925789,6,Request1,200,OK,Thread Group 1 1-8,bin,true,,16891,131,12,12,http://192.168.109.128/EXTRASMALL.jpg,5,0,0
1699454925789,8,Request3,200,OK,Thread Group 1 1-5,bin,true,,100786,127,12,12,http://192.168.109.128/MEDIUM.jpg,5,0,0
1699454925789,14,Request4,200,OK,Thread Group 1 1-2,bin,true,,1088234,126,12,12,http://192.168.109.128/LARGE.jpg,5,0,0
1699454925819,3,Request3,200,OK,Thread Group 1 1-13,bin,true,,100787,127,13,13,http://192.168.109.128/MEDIUM.jpg,3,0,2
1699454925866,30,Request5,200,OK,Thread Group 1 1-1,bin,true,,5982346,131,13,13,http://192.168.109.128/EXTRALARGE.jpg,1,0,0
1699454926023,38,Request5,200,OK,Thread Group 1 1-14,bin,true,,5982347,131,14,14,http://192.168.109.128/EXTRALARGE.jpg,3,0,2
1699454926100,25,Request5,200,OK,Thread Group 1 1-9,bin,true,,5982346,131,14,14,http://192.168.109.128/EXTRALARGE.jpg,1,0,0
1699454926241,2,Request1,200,OK,Thread Group 1 1-6,bin,true,,16891,131,15,15,http://192.168.109.128/EXTRASMALL.jpg,1,0,0
