timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700586583463,4,R1_1,200,OK,Thread Group 1 1-1,bin,true,,16892,131,1,1,http://192.168.109.128/EXTRASMALL.jpg,4,0,1
1700586583585,2,R1_2,200,OK,Thread Group 1 1-1,bin,true,,49715,126,1,1,http://192.168.109.128/SMALL.jpg,2,0,0
1700586583703,21,R1_4,200,OK,Thread Group 1 1-1,bin,true,,1088234,126,1,1,http://192.168.109.128/LARGE.jpg,2,0,0
1700586583823,76,R1_3,200,OK,Thread Group 1 1-1,bin,true,,5982346,131,2,2,http://192.168.109.128/EXTRALARGE.jpg,2,0,0
1700586583863,57,R1_3,200,OK,Thread Group 1 1-2,bin,true,,5982347,131,2,2,http://192.168.109.128/EXTRALARGE.jpg,3,0,1
1700586584064,30,R1_11,200,OK,Thread Group 1 1-1,bin,true,,3968292,125,2,2,http://192.168.109.128/test.jpg,1,0,0
1700586584104,2,R1_8,200,OK,Thread Group 1 1-2,bin,true,,121341,125,2,2,http://192.168.109.128/nasa.jpg,1,0,0
1700586584262,3,R1_7,200,OK,Thread Group 1 1-3,bin,true,,6289,128,3,3,http://192.168.109.128/ISCHIA.jpeg,3,0,1
1700586584303,2,R1_5,200,OK,Thread Group 1 1-1,bin,true,,100786,127,3,3,http://192.168.109.128/MEDIUM.jpg,1,0,0
1700586584344,12,R1_4,200,OK,Thread Group 1 1-2,bin,true,,1088234,126,3,3,http://192.168.109.128/LARGE.jpg,2,0,0
1700586584622,27,R1_11,200,OK,Thread Group 1 1-3,bin,true,,3968292,125,3,3,http://192.168.109.128/test.jpg,1,0,0
1700586584663,4,R1_9,200,OK,Thread Group 1 1-1,,true,,79349,126,4,4,http://192.168.109.128/onda.webp,1,0,0
1700586584663,4,R1_1,200,OK,Thread Group 1 1-4,bin,true,,16892,131,4,4,http://192.168.109.128/EXTRASMALL.jpg,4,0,1
