 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   1036  64224  32584 884176    0    3  1529   401  189  355  3  3 94  0  0
 0  0   1036  64224  32724 884224    0    0   152     0  239  501  3  1 97  0  0
 0  0   1036  64224  32724 884224    0    0     0     0   86  150  0  0 100  0  0
 0  0   1036  78300  32656 887064    0    0  3900   136  331  320  0  8 92  1  0
 0  0   1292  75016  30412 870672    0   64 10264   620 1230  777  1 34 65  1  0
 1  0   1292  72988  30412 870672    0    0     4     0  999  734  1 42 57  0  0
 0  0   1292  73500  30412 870684    0    0     0     0  998  669  1 33 66  0  0
 0  0   1292  73156  30412 870684    0    0     0     0  634  618  1 25 75  0  0
 2  0   1292  71192  30420 870688    0    0     0    32  620  533  0 19 81  0  0
 1  0   1292  72068  30420 870692    0    0     0     0  765  635  1 27 73  0  0
 1  0   1292  73164  30420 870692    0    0     0     0  834  689  1 33 66  0  0
 0  0   1292  71692  30420 870696    0    0     0     0  706  555  1 25 74  0  0
 1  0   1292  72216  30420 870696    0    0     0     0  797  682  1 31 69  0  0
 1  0   1292  69316  30428 870692    0    0     0    16  921  591  0 30 70  0  0
 1  0   1292  73328  30004 869108    0    0    84    44  705  623  0 27 73  0  0
 3  0   1292  75700  29816 866404    0    0    36     0  536  400  1 22 77  0  0
 2  0   1292  75348  29812 866208    0    0     0     0  702  673  0 32 68  0  0
 3  0   1292  70740  29812 866208    0    0     0     0  596  369  0 18 82  0  0
 1  0   1292  75408  29812 866212    0    0     0     0  561  507  0 27 73  0  0
 0  0   1292  73020  29820 866216    0    0     0    24  809  540  1 31 69  0  0
 2  0   1292  70992  29820 866216    0    0     0     0  887  804  0 48 52  0  0
 2  0   1292  72532  29820 866220    0    0     0     0  625  441  1 27 73  0  0
 0  0   1292  73836  29820 866220    0    0     0     0  784  641  0 35 65  0  0
 1  0   1292  75500  29820 866220    0    0     0     0  584  455  1 20 80  0  0
