 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 270388  98176  10176 489036    2   95   559   219  168  340  2  2 96  0  0
 1  0 270388  97504  10176 492344    0    0  3316     0  392  507  1  2 97  0  0
 3  0 270388  89944  10176 496412    0    0  3976     0  571  314  1  8 91  0  0
 0  0 270388  72948  10176 506372    0    0  9940     0  785  497  1 12 88  0  0
 0  0 270388  74780  10184 506364    0    0     0    80  617  346  1 18 81  0  0
 0  0 270388  68920  10184 506420    0    0    40    32  478  421  0  7 93  0  0
 0  0 270388  70640  10184 506424    0    0     0     0  382  331  1  8 91  0  0
 2  0 270388  79800  10184 506256    0    0     0     0  293  341  0  8 92  0  0
 0  0 270388  80124  10184 506264    0    0     0     0  390  376  1 11 89  0  0
 1  0 270388  78932  10192 506264    0    0     0    48  483  418  1 10 90  0  0
 0  0 270388  81044  10192 506264    0    0     0     0  856  533  2 17 81  0  0
 0  0 270388  84836  10192 506264    0    0     0     0  352  297  1  6 94  0  0
 0  0 270388  80956  10192 506268    0    0     0     0  361  363  0 16 84  0  0
 0  0 270388  81136  10192 506268    0    0     0     0  315  261  1  4 96  0  0
 0  0 270388  81156  10200 506268    0    0     0    16  342  338  1  9 90  0  0
 0  0 270388  80572  10200 506268    0    0     0     0  264  299  0  5 95  0  0
 1  0 270388  79964  10200 506272    0    0     0     0  304  262  1  8 92  0  0
 0  0 270388  83744  10200 506272    0    0     0     0  236  230  1  3 97  0  0
 0  0 270388  81268  10200 506272    0    0     0     0  257  274  0  8 92  0  0
 3  0 270388  83692  10208 506264    0    0     0   352  446  332  1 13 87  0  0
 0  0 270388  80304  10208 506276    0    0     0     0  205  190  0  2 97  0  0
 0  0 270388  93028  10208 506276    0    0     0     0  287  346  0 11 89  0  0
 1  0 270388  86728  10208 506276    0    0     0     0  275  270  1  4 96  0  0
 0  0 270388  80500  10208 506276    0    0     0     0  309  243  0  6 94  0  0
 1  0 270388  80292  10208 506280    0    0     0     0  299  217  0  3 97  0  0
 1  0 270388  83336  10216 506280    0    0     0    16  315  356  0  4 96  0  0
 1  0 270388  80608  10216 506280    0    0     0     0  266  270  1  6 93  0  0
 0  0 270388  83908  10216 506280    0    0     0     0  391  303  1  8 91  0  0
 1  0 270388  80228  10216 506284    0    0     0     0  483  374  1 11 88  0  0
 0  0 270388  75532  10216 507416    0    0     0     0 1012 3145  6  7 86  0  0
 0  0 270388  75156  10224 507384    0    0     0   520  373  538  1 14 86  0  0
 0  0 270388  74392  10224 507384    0    0     0     0  525  405  1 15 84  0  0
 0  0 270388  77716  10224 507384    0    0     0     0  189  183  0  3 97  0  0
 1  0 270388  76648  10224 507384    0    0     0     0  604  493  3  3 94  0  0
 0  0 270388  77416  10240 507388    4    0     4   108  356  353  1  8 91  1  0
 0  0 270388  79912  10240 507388    0    0     0    88  272  252  0  6 94  0  0
 0  0 270388  76908  10240 507388    0    0     0     0  303  262  1 12 88  0  0
 0  0 270388  80032  10240 507388    0    0     0     0  275  379  0  1 98  0  0
 1  0 270388  79332  10240 507392    0    0     0     0  241  281  1  5 94  0  0
 0  0 270388  80572  10248 507384    0    0     0    44  219  382  1  1 98  0  0
 2  0 270388  81712  10248 507392    0    0     0     0  210  216  0  4 96  0  0
 0  0 270388  83904  10248 507392    0    0     0     0  298  248  0  5 95  0  0
 1  0 270388  80072  10248 507396    0    0     0     0  450  259  0 11 89  0  0
 0  0 270388  81988  10248 507396    0    0     0     0  379  475  2  7 91  0  0
 0  0 270388  82800  10256 507396    0    0     0    16  465  353  1 13 86  0  0
 1  0 270388  80156  10256 507396    0    0     0     0  221  236  1  4 96  0  0
 1  0 270388  82696  10256 507400    0    0     0     0  366  338  0 10 90  0  0
 0  0 270388  81968  10256 507400    0    0     0     0  306  315  1  9 91  0  0
 0  0 270388  85552  10256 507400    0    0     0     0  237  256  1  4 96  0  0
 0  0 270388  82132  10264 507396    0    0     0    52  259  293  1  5 95  0  0
 0  0 270388  80476  10264 507408    0    0     0     0  315  293  1 10 90  0  0
 0  0 270388  80872  10264 507408    0    0     0     0  308  284  0  7 93  0  0
 2  0 270388  80364  10264 507408    0    0     0     0  387  439  1  5 94  0  0
 0  0 270388  82796  10264 507408    0    0     0     0  341  322  0  6 94  0  0
 0  0 270388  85424  10272 507412    0    0     0    16  308  298  1 10 89  0  0
 0  0 270388  81500  10272 507412    0    0     0    96  258  297  0  6 94  0  0
 0  0 270388  87660  10272 507412    0    0     0     0  275  359  0  6 94  0  0
 0  0 270388  84080  10272 507416    0    0     0     0  251  256  1  6 94  0  0
 1  0 270388  81116  10272 507416    0    0     0     0  357  248  1  5 94  0  0
 0  0 270388  81828  10280 507408    0    0     0    16  275  219  0  3 97  0  0
 0  0 270388  82092  10288 507436    0    0     8  1700  349  369  0 12 88  0  0
 0  0 270388  84124  10288 507436    0    0     0     0  223  296  1  3 97  0  0
 0  0 270388  84132  10288 507436    0    0     0     0  291  304  0  7 93  0  0
 0  0 270388  81808  10288 507420    0    0     0     0  228  226  0  4 96  0  0
 6  0 270388  81136  10292 507420    0    0     0    32  581  281  1 14 86  0  0
 0  0 270388  80072  10296 507424    0    0     0     4  244  242  1  4 96  0  0
 0  0 270388  81376  10444 507432    0    0   136   100  307  373  0  9 91  0  0
 1  0 270388  87620  10444 507432    0    0     0     0  356  242  0  5 95  0  0
 0  0 270388  80884  10452 509592    0    0  1379     0  353  361  1 10 89  0  0
 0  0 270388  80632  10452 509592    0    0     0     0  178  195  1  0 99  0  0
 0  0 270388  79736  10452 509592    0    0     0     0  218  207  0  3 96  0  0
 0  0 270388  79736  10460 509592    0    0     0    48  175  211  0  1 99  0  0
 0  0 270388  80484  10460 509592    0    0     0     0  268  305  0  9 90  0  0
 0  0 270388  80508  10460 509596    0    0     0     0  276  306  0  8 92  0  0
 0  0 270388  69464  10464 510096    0    0     0     0 1095 2786  9 16 76  0  0
 0  0 270388  71616  10464 510152   12    0    12     0  320  579  2  6 93  0  0
 0  0 270388  69992  10472 510144    0    0     0    92  309  362  1  5 95  0  0
 0  0 270388  71380  10472 510156    0    0     0     0  532  432  0 23 77  0  0
 0  0 270388  73496  10472 510156    0    0     0     0  624  558  2 13 85  0  0
 0  0 270388  72684  10488 510160    0    0     0   100  472  348  1  7 93  0  0
 0  0 270388  72200  10488 510160    0    0     0     0  599  366  1 14 85  0  0
 0  0 270388  72440  10488 510164    0    0     0    40  699  435  1 23 77  0  0
 0  0 270388  79024  10488 510168    0    0     0     0 1084  713  1 23 76  0  0
 0  0 270388  74544  10488 510168    0    0     0     0  572  315  1 11 88  0  0
 0  0 270388  72628  10496 510176    0    0     0    48  727  456  1 21 78  0  0
 3  0 270388  72460  10496 510176    0    0     0     0  534  399  1 23 76  0  0
 2  0 270388  71260  10496 510180    0    0     0     0  658  422  1 26 73  0  0
