Nodo,DEV,MEM,IO,NET,PRO,OTH
tg-c117,98.13432835820896,1.8656716417910446,0.0,0.0,0.0,0.0
tg-c238,82.1319018404908,0.0,17.63803680981595,0.23006134969325154,0.0,0.0
tg-c242,86.03561387066541,13.964386129334583,0.0,0.0,0.0,0.0
tg-c401,81.45973692653192,18.540263073468076,0.0,0.0,0.0,0.0
tg-c572,78.98532703307635,21.01467296692365,0.0,0.0,0.0,0.0
tg-c648,51.07227958697379,0.0,0.0,0.0,48.92772041302621,0.0
tg-c669,96.25468164794007,3.7453183520599254,0.0,0.0,0.0,0.0
tg-login3,0.0,0.0,99.73821989528795,0.2617801047120419,0.0,0.0
tg-master,0.0,0.0,11.048643363480812,88.95135663651918,0.0,0.0
tg-s044,0.0,0.0,99.50372208436724,0.062034739454094295,0.0,0.4342431761786601
