timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702296198333,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16892,128,1,1,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198356,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,1,1,http://10.211.55.19/EXTRASMALL.jpg,0,0,0
1702296198373,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,1,1,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198395,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,1,1,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198415,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,1,1,http://10.211.55.19/EXTRASMALL.jpg,2,0,0
1702296198434,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,2,2,http://10.211.55.19/EXTRASMALL.jpg,2,0,0
1702296198434,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16892,128,2,2,http://10.211.55.19/EXTRASMALL.jpg,2,0,1
1702296198478,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,2,2,http://10.211.55.19/EXTRASMALL.jpg,0,0,0
1702296198478,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,2,2,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198516,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,2,2,http://10.211.55.19/EXTRASMALL.jpg,0,0,0
1702296198516,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,2,2,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198536,3,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16892,128,3,3,http://10.211.55.19/EXTRASMALL.jpg,2,0,1
1702296198557,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,3,3,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198557,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,3,3,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198599,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,3,3,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198615,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,3,3,http://10.211.55.19/EXTRASMALL.jpg,2,0,0
1702296198618,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,3,3,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198637,3,ExtraSmall HTTP Request,200,OK,Medium Small 4-4,bin,true,,16892,128,4,4,http://10.211.55.19/EXTRASMALL.jpg,3,0,1
1702296198660,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,4,4,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198677,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,4,4,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198678,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,4,4,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198720,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-4,bin,true,,16891,128,4,4,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198737,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,5,5,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198737,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-5,bin,true,,16892,128,5,5,http://10.211.55.19/EXTRASMALL.jpg,2,0,1
1702296198756,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,5,5,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198756,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,5,5,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198801,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-4,bin,true,,16891,128,5,5,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198836,3,ExtraSmall HTTP Request,200,OK,Medium Small 4-6,bin,true,,16892,128,6,6,http://10.211.55.19/EXTRASMALL.jpg,3,0,1
1702296198840,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,6,6,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198840,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-5,bin,true,,16891,128,6,6,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198857,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,6,6,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198857,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,6,6,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198901,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-4,bin,true,,16891,128,6,6,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198936,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-7,bin,true,,16892,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198956,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198956,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-6,bin,true,,16891,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198962,0,ExtraSmall HTTP Request,200,OK,Medium Small 4-5,bin,true,,16891,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,0,0,0
1702296198977,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296198977,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199019,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-4,bin,true,,16891,128,7,7,http://10.211.55.19/EXTRASMALL.jpg,0,0,0
1702296199037,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-8,bin,true,,16892,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,2,0,1
1702296199076,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-7,bin,true,,16891,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199099,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199101,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-5,bin,true,,16891,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199101,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-6,bin,true,,16891,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199115,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-2,bin,true,,16891,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199115,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-1,bin,true,,16891,128,8,8,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199137,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-9,bin,true,,16892,128,9,9,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199162,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-4,bin,true,,16891,128,9,9,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199199,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-8,bin,true,,16891,128,9,9,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199237,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-7,bin,true,,16891,128,10,10,http://10.211.55.19/EXTRASMALL.jpg,2,0,0
1702296199237,2,ExtraSmall HTTP Request,200,OK,Medium Small 4-10,bin,true,,16892,128,10,10,http://10.211.55.19/EXTRASMALL.jpg,2,0,1
1702296199258,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-5,bin,true,,16891,128,10,10,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199258,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-6,bin,true,,16891,128,10,10,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
1702296199258,1,ExtraSmall HTTP Request,200,OK,Medium Small 4-3,bin,true,,16891,128,10,10,http://10.211.55.19/EXTRASMALL.jpg,1,0,0
