timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702297064052,3,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100787,124,1,1,http://10.211.55.19/MEDIUM.jpg,1,0,1
1702297064066,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,0,0,0
1702297064083,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064094,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064107,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064118,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064133,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064147,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,1,1,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064154,3,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100787,124,2,2,http://10.211.55.19/MEDIUM.jpg,2,0,1
1702297064158,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064182,2,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064183,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064208,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064213,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064243,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,0,0,0
1702297064243,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,2,2,http://10.211.55.19/MEDIUM.jpg,0,0,0
1702297064257,4,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100787,124,3,3,http://10.211.55.19/MEDIUM.jpg,2,0,1
1702297064263,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,3,3,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064264,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,3,3,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064306,2,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,3,3,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064312,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,3,3,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064312,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,3,3,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064338,2,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,3,3,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064351,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064351,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064352,3,Medium HTTP Request,200,OK,Large Medium 8-4,bin,true,,100787,124,4,4,http://10.211.55.19/MEDIUM.jpg,2,0,1
1702297064379,2,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064398,2,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064398,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064414,1,Medium HTTP Request,200,OK,Large Medium 8-4,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064437,1,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,4,4,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064456,2,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064456,3,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064459,2,Medium HTTP Request,200,OK,Large Medium 8-4,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064457,5,Medium HTTP Request,200,OK,Large Medium 8-5,bin,true,,100787,124,5,5,http://10.211.55.19/MEDIUM.jpg,3,0,2
1702297064490,1,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064515,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,0,0,0
1702297064519,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064526,2,Medium HTTP Request,200,OK,Large Medium 8-5,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064526,2,Medium HTTP Request,200,OK,Large Medium 8-4,bin,true,,100786,124,5,5,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064559,1,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064560,2,Medium HTTP Request,200,OK,Large Medium 8-6,bin,true,,100787,124,6,6,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064583,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064593,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064599,2,Medium HTTP Request,200,OK,Large Medium 8-5,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064599,2,Medium HTTP Request,200,OK,Large Medium 8-4,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,2,0,0
1702297064638,2,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064643,2,Medium HTTP Request,200,OK,Large Medium 8-6,bin,true,,100786,124,6,6,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064659,3,Medium HTTP Request,200,OK,Large Medium 8-7,bin,true,,100787,124,7,7,http://10.211.55.19/MEDIUM.jpg,2,0,1
1702297064671,1,Medium HTTP Request,200,OK,Large Medium 8-1,bin,true,,100786,124,7,7,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064671,1,Medium HTTP Request,200,OK,Large Medium 8-2,bin,true,,100786,124,7,7,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064681,1,Medium HTTP Request,200,OK,Large Medium 8-4,bin,true,,100786,124,7,7,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064681,1,Medium HTTP Request,200,OK,Large Medium 8-5,bin,true,,100786,124,7,7,http://10.211.55.19/MEDIUM.jpg,1,0,0
1702297064719,1,Medium HTTP Request,200,OK,Large Medium 8-3,bin,true,,100786,124,7,7,http://10.211.55.19/MEDIUM.jpg,0,0,0
