timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702296944008,9,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088235,128,1,1,http://10.211.55.19/EXTRALARGE.jpg,2,0,1
1702296944030,5,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,1,1,http://10.211.55.19/EXTRALARGE.jpg,1,0,0
1702296944050,5,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,1,1,http://10.211.55.19/EXTRALARGE.jpg,1,0,0
1702296944071,5,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,1,1,http://10.211.55.19/EXTRALARGE.jpg,1,0,0
1702296944090,4,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,1,1,http://10.211.55.19/EXTRALARGE.jpg,1,0,0
1702296944110,5,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,2,2,http://10.211.55.19/EXTRALARGE.jpg,1,0,0
1702296944110,13,ExtraLarge HTTP Request,200,OK,Medium Large 6-2,bin,true,,1088235,128,2,2,http://10.211.55.19/EXTRALARGE.jpg,2,0,1
1702296944151,14,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,2,2,http://10.211.55.19/EXTRALARGE.jpg,8,0,0
1702296944151,16,ExtraLarge HTTP Request,200,OK,Medium Large 6-2,bin,true,,1088234,128,2,2,http://10.211.55.19/EXTRALARGE.jpg,7,0,0
1702296944192,6,ExtraLarge HTTP Request,200,OK,Medium Large 6-1,bin,true,,1088234,128,2,2,http://10.211.55.19/EXTRALARGE.jpg,2,0,0
1702296944192,8,ExtraLarge HTTP Request,200,OK,Medium Large 6-2,bin,true,,1088234,128,2,2,http://10.211.55.19/EXTRALARGE.jpg,2,0,0
1702296944213,6,ExtraLarge HTTP Request,200,OK,Medium Large 6-3,bin,true,,1088235,128,3,3,http://10.211.55.19/EXTRALARGE.jpg,2,0,1
