Cartella,File,CTT,Risorsa,ResponseTime
1,SL.csv,1500,Large,7.294559099437148
4,SL.csv,1500,Large,7.571607254534084
3,SL.csv,1500,Large,7.480625
2,SL.csv,1500,Large,7.390625
5,SL.csv,1500,Large,7.255625
1,SM.csv,1500,Medium,2.5159474671669795
4,SM.csv,1500,Medium,2.5425
3,SM.csv,1500,Medium,2.565978736710444
2,SM.csv,1500,Medium,2.408125
5,SM.csv,1500,Medium,2.5675
1,SS.csv,1500,Small,1.4552845528455285
4,SS.csv,1500,Small,1.546875
3,SS.csv,1500,Small,1.5146966854283928
2,SS.csv,1500,Small,1.5978736710444028
5,SS.csv,1500,Small,1.4625
1,ML.csv,3000,Large,7.760890609874153
4,ML.csv,3000,Large,8.461290322580645
3,ML.csv,3000,Large,7.724104549854792
2,ML.csv,3000,Large,8.147741935483872
5,ML.csv,3000,Large,7.810906744111003
1,MM.csv,3000,Medium,2.685483870967742
4,MM.csv,3000,Medium,2.7115198451113263
3,MM.csv,3000,Medium,2.6616129032258065
2,MM.csv,3000,Medium,2.6569861245563087
5,MM.csv,3000,Medium,2.6847370119393354
1,MS.csv,3000,Small,1.521135850274282
4,MS.csv,3000,Small,1.420780897063569
3,MS.csv,3000,Small,1.5692158760890609
2,MS.csv,3000,Small,1.500161342368506
5,MS.csv,3000,Small,1.5569538560826073
1,LL.csv,4500,Large,8.256248641599653
4,LL.csv,4500,Large,8.064144379212872
3,LL.csv,4500,Large,8.149782608695652
2,LL.csv,4500,Large,7.342534231688763
5,LL.csv,4500,Large,8.134347826086957
1,LM.csv,4500,Medium,2.401521739130435
4,LM.csv,4500,Medium,2.428478260869565
3,LM.csv,4500,Medium,2.5441304347826086
2,LM.csv,4500,Medium,2.2677678765485765
5,LM.csv,4500,Medium,2.423695652173913
1,LS.csv,4500,Small,1.3353618778526408
4,LS.csv,4500,Small,1.4979352314714192
3,LS.csv,4500,Small,1.4996739839165398
2,LS.csv,4500,Small,1.436209519669637
5,LS.csv,4500,Small,1.4289130434782609
