timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697106557400,5,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,441281,127,1,1,http://192.168.109.128/medium.jpg,1,0,0
1697106557410,11,Large HTTP Request ,200,OK,Thread Group 1-2,bin,true,,1088235,126,3,3,http://192.168.109.128/large.jpg,1,0,1
1697106557419,3,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,10889,127,3,3,http://192.168.109.128/small.jpeg,3,0,1
1697106557429,10,Large HTTP Request ,200,OK,Thread Group 1-4,bin,true,,1088235,126,5,5,http://192.168.109.128/large.jpg,3,0,0
1697106557439,5,Medium HTTP Request ,200,OK,Thread Group 1-5,bin,true,,441281,127,5,5,http://192.168.109.128/medium.jpg,2,0,1
1697106557449,4,Medium HTTP Request ,200,OK,Thread Group 1-6,bin,true,,441281,127,6,6,http://192.168.109.128/medium.jpg,1,0,0
1697106557454,3,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,441280,127,6,6,http://192.168.109.128/medium.jpg,0,0,0
1697106557459,8,Large HTTP Request ,200,OK,Thread Group 1-7,bin,true,,1088235,126,7,7,http://192.168.109.128/large.jpg,2,0,1
1697106557468,6,Medium HTTP Request ,200,OK,Thread Group 1-8,bin,true,,441281,127,8,8,http://192.168.109.128/medium.jpg,3,0,3
1697106557479,9,Medium HTTP Request ,200,OK,Thread Group 1-9,bin,true,,441281,127,10,10,http://192.168.109.128/medium.jpg,3,0,3
1697106557488,10,Large HTTP Request ,200,OK,Thread Group 1-10,bin,true,,1088235,126,10,10,http://192.168.109.128/large.jpg,3,0,3
1697106557499,4,Small HTTP Request ,200,OK,Thread Group 1-11,bin,true,,10889,127,11,11,http://192.168.109.128/small.jpeg,2,0,1
1697106557508,10,Large HTTP Request ,200,OK,Thread Group 1-12,bin,true,,1088235,126,13,13,http://192.168.109.128/large.jpg,3,0,2
1697106557519,4,Small HTTP Request ,200,OK,Thread Group 1-13,bin,true,,10889,127,13,13,http://192.168.109.128/small.jpeg,2,0,1
1697106557529,7,Medium HTTP Request ,200,OK,Thread Group 1-14,bin,true,,441281,127,14,14,http://192.168.109.128/medium.jpg,3,0,2
1697106557538,7,Medium HTTP Request ,200,OK,Thread Group 1-15,bin,true,,441281,127,15,15,http://192.168.109.128/medium.jpg,3,0,2
1697106557549,5,Small HTTP Request ,200,OK,Thread Group 1-16,bin,true,,10889,127,16,16,http://192.168.109.128/small.jpeg,3,0,2
1697106557558,9,Large HTTP Request ,200,OK,Thread Group 1-17,bin,true,,1088235,126,17,17,http://192.168.109.128/large.jpg,3,0,2
1697106557574,2,Small HTTP Request ,200,OK,Thread Group 1-2,bin,true,,10888,127,18,18,http://192.168.109.128/small.jpeg,2,0,0
1697106557568,11,Large HTTP Request ,200,OK,Thread Group 1-18,bin,true,,1088235,126,18,18,http://192.168.109.128/large.jpg,3,0,3
1697106557579,4,Small HTTP Request ,200,OK,Thread Group 1-19,bin,true,,10889,127,19,19,http://192.168.109.128/small.jpeg,2,0,2
1697106557583,3,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,441280,127,19,19,http://192.168.109.128/medium.jpg,0,0,0
1697106557588,8,Large HTTP Request ,200,OK,Thread Group 1-20,bin,true,,1088235,126,20,20,http://192.168.109.128/large.jpg,2,0,2
1697106557599,5,Small HTTP Request ,200,OK,Thread Group 1-21,bin,true,,10889,127,21,21,http://192.168.109.128/small.jpeg,3,0,3
1697106557608,9,Large HTTP Request ,200,OK,Thread Group 1-22,bin,true,,1088235,126,22,22,http://192.168.109.128/large.jpg,3,0,2
1697106557619,9,Medium HTTP Request ,200,OK,Thread Group 1-23,bin,true,,441281,127,24,24,http://192.168.109.128/medium.jpg,3,0,2
1697106557628,2,Small HTTP Request ,200,OK,Thread Group 1-24,bin,true,,10889,127,24,24,http://192.168.109.128/small.jpeg,1,0,0
1697106557638,10,Large HTTP Request ,200,OK,Thread Group 1-25,bin,true,,1088235,126,25,25,http://192.168.109.128/large.jpg,2,0,1
1697106557648,10,Large HTTP Request ,200,OK,Thread Group 1-26,bin,true,,1088235,126,27,27,http://192.168.109.128/large.jpg,3,0,3
1697106557658,9,Medium HTTP Request ,200,OK,Thread Group 1-27,bin,true,,441281,127,27,27,http://192.168.109.128/medium.jpg,3,0,2
1697106557669,10,Large HTTP Request ,200,OK,Thread Group 1-28,bin,true,,1088235,126,29,29,http://192.168.109.128/large.jpg,3,0,2
1697106557679,6,Medium HTTP Request ,200,OK,Thread Group 1-29,bin,true,,441281,127,29,29,http://192.168.109.128/medium.jpg,2,0,1
1697106557688,10,Medium HTTP Request ,200,OK,Thread Group 1-30,bin,true,,441281,127,30,30,http://192.168.109.128/medium.jpg,3,0,3
1697106557698,4,Small HTTP Request ,200,OK,Thread Group 1-31,bin,true,,10889,127,31,31,http://192.168.109.128/small.jpeg,2,0,2
1697106557702,8,Large HTTP Request ,200,OK,Thread Group 1-4,bin,true,,1088234,126,32,32,http://192.168.109.128/large.jpg,1,0,0
1697106557709,3,Small HTTP Request ,200,OK,Thread Group 1-32,bin,true,,10889,127,32,32,http://192.168.109.128/small.jpeg,1,0,1
1697106557713,4,Medium HTTP Request ,200,OK,Thread Group 1-5,bin,true,,441280,127,32,32,http://192.168.109.128/medium.jpg,0,0,0
1697106557718,4,Small HTTP Request ,200,OK,Thread Group 1-33,bin,true,,10889,127,33,33,http://192.168.109.128/small.jpeg,3,0,2
