timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697232594802,7,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,441281,127,2,2,http://192.168.109.128/medium.jpg,3,0,1
1697232594817,8,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,10889,127,3,3,http://192.168.109.128/small.jpeg,8,0,2
1697232594840,5,Small HTTP Request ,200,OK,Thread Group 1-5,bin,true,,10889,127,5,5,http://192.168.109.128/small.jpeg,5,0,3
1697232594853,38,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,441280,127,10,10,http://192.168.109.128/medium.jpg,8,0,0
1697232594853,47,Medium HTTP Request ,200,OK,Thread Group 1-6,bin,true,,441281,127,11,11,http://192.168.109.128/medium.jpg,14,0,8
1697232594861,42,Medium HTTP Request ,200,OK,Thread Group 1-7,bin,true,,441281,127,11,11,http://192.168.109.128/medium.jpg,12,0,7
1697232594899,14,Small HTTP Request ,200,OK,Thread Group 1-11,bin,true,,10889,127,12,12,http://192.168.109.128/small.jpeg,14,0,5
1697232594897,47,Medium HTTP Request ,200,OK,Thread Group 1-5,bin,true,,441280,127,15,15,http://192.168.109.128/medium.jpg,6,0,0
1697232594920,27,Small HTTP Request ,200,OK,Thread Group 1-13,bin,true,,10889,127,16,16,http://192.168.109.128/small.jpeg,25,0,13
1697232594937,29,Small HTTP Request ,200,OK,Thread Group 1-15,bin,true,,10889,127,17,17,http://192.168.109.128/small.jpeg,26,0,10
1697232594880,89,Medium HTTP Request ,200,OK,Thread Group 1-9,bin,true,,441281,127,18,18,http://192.168.109.128/medium.jpg,13,0,7
1697232594947,24,Small HTTP Request ,200,OK,Thread Group 1-16,bin,true,,10889,127,18,18,http://192.168.109.128/small.jpeg,24,0,15
1697232594961,16,Small HTTP Request ,200,OK,Thread Group 1-17,bin,true,,10889,127,18,18,http://192.168.109.128/small.jpeg,14,0,5
1697232594908,73,Medium HTTP Request ,200,OK,Thread Group 1-12,bin,true,,441281,127,19,19,http://192.168.109.128/medium.jpg,23,0,11
1697232594973,11,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,10888,127,19,19,http://192.168.109.128/small.jpeg,11,0,0
1697232594888,98,Medium HTTP Request ,200,OK,Thread Group 1-10,bin,true,,441281,127,19,19,http://192.168.109.128/medium.jpg,12,0,6
1697232594979,20,Small HTTP Request ,200,OK,Thread Group 1-19,bin,true,,10889,127,21,21,http://192.168.109.128/small.jpeg,18,0,7
1697232594998,23,Small HTTP Request ,200,OK,Thread Group 1-21,bin,true,,10889,127,23,23,http://192.168.109.128/small.jpeg,19,0,11
