timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697104267047,11,Large HTTP Request ,200,OK,Thread Group 1-1,bin,true,,1088235,126,2,2,http://192.168.109.128/large.jpg,3,0,2
1697104267059,6,Medium HTTP Request ,200,OK,Thread Group 1-2,bin,true,,441281,127,2,2,http://192.168.109.128/medium.jpg,2,0,1
1697104267072,6,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,441281,127,4,4,http://192.168.109.128/medium.jpg,3,0,1
1697104267077,5,Medium HTTP Request ,200,OK,Thread Group 1-4,bin,true,,441281,127,4,4,http://192.168.109.128/medium.jpg,2,0,1
1697104267088,8,Large HTTP Request ,200,OK,Thread Group 1-5,bin,true,,1088235,126,5,5,http://192.168.109.128/large.jpg,1,0,1
1697104267097,11,Medium HTTP Request ,200,OK,Thread Group 1-6,bin,true,,441281,127,7,7,http://192.168.109.128/medium.jpg,4,0,3
1697104267108,10,Large HTTP Request ,200,OK,Thread Group 1-7,bin,true,,1088235,126,8,8,http://192.168.109.128/large.jpg,3,0,2
1697104267117,10,Medium HTTP Request ,200,OK,Thread Group 1-8,bin,true,,441281,127,8,8,http://192.168.109.128/medium.jpg,3,0,3
1697104267127,7,Medium HTTP Request ,200,OK,Thread Group 1-9,bin,true,,441281,127,9,9,http://192.168.109.128/medium.jpg,2,0,2
1697104267138,8,Medium HTTP Request ,200,OK,Thread Group 1-10,bin,true,,441281,127,10,10,http://192.168.109.128/medium.jpg,2,0,1
1697104267149,9,Large HTTP Request ,200,OK,Thread Group 1-11,bin,true,,1088235,126,12,12,http://192.168.109.128/large.jpg,2,0,2
1697104267157,4,Small HTTP Request ,200,OK,Thread Group 1-12,bin,true,,10889,127,12,12,http://192.168.109.128/small.jpeg,2,0,1
1697104267168,8,Medium HTTP Request ,200,OK,Thread Group 1-13,bin,true,,441281,127,13,13,http://192.168.109.128/medium.jpg,3,0,2
1697104267177,5,Small HTTP Request ,200,OK,Thread Group 1-14,bin,true,,10889,127,14,14,http://192.168.109.128/small.jpeg,3,0,3
1697104267188,5,Small HTTP Request ,200,OK,Thread Group 1-15,bin,true,,10889,127,15,15,http://192.168.109.128/small.jpeg,3,0,2
1697104267198,2,Small HTTP Request ,200,OK,Thread Group 1-16,bin,true,,10889,127,16,16,http://192.168.109.128/small.jpeg,2,0,1
1697104267207,3,Medium HTTP Request ,200,OK,Thread Group 1-17,bin,true,,441281,127,17,17,http://192.168.109.128/medium.jpg,1,0,0
1697104267218,1,Small HTTP Request ,200,OK,Thread Group 1-18,bin,true,,10889,127,18,18,http://192.168.109.128/small.jpeg,1,0,1
1697104267226,2,Small HTTP Request ,200,OK,Thread Group 1-19,bin,true,,10889,127,19,19,http://192.168.109.128/small.jpeg,2,0,1
1697104267239,7,Large HTTP Request ,200,OK,Thread Group 1-20,bin,true,,1088235,126,20,20,http://192.168.109.128/large.jpg,1,0,0
1697104267250,4,Medium HTTP Request ,200,OK,Thread Group 1-21,bin,true,,441281,127,21,21,http://192.168.109.128/medium.jpg,1,0,1
1697104267258,10,Large HTTP Request ,200,OK,Thread Group 1-22,bin,true,,1088235,126,23,23,http://192.168.109.128/large.jpg,1,0,0
1697104267268,5,Small HTTP Request ,200,OK,Thread Group 1-23,bin,true,,10889,127,23,23,http://192.168.109.128/small.jpeg,3,0,2
1697104267278,2,Small HTTP Request ,200,OK,Thread Group 1-24,bin,true,,10889,127,24,24,http://192.168.109.128/small.jpeg,2,0,1
1697104267287,6,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,441280,127,25,25,http://192.168.109.128/medium.jpg,0,0,0
1697104267288,11,Medium HTTP Request ,200,OK,Thread Group 1-25,bin,true,,441281,127,26,26,http://192.168.109.128/medium.jpg,2,0,0
1697104267299,0,Small HTTP Request ,200,OK,Thread Group 1-2,bin,true,,10888,127,26,26,http://192.168.109.128/small.jpeg,0,0,0
1697104267298,4,Medium HTTP Request ,200,OK,Thread Group 1-26,bin,true,,441281,127,26,26,http://192.168.109.128/medium.jpg,2,0,1
1697104267307,4,Small HTTP Request ,200,OK,Thread Group 1-27,bin,true,,10889,127,27,27,http://192.168.109.128/small.jpeg,3,0,2
1697104267317,5,Small HTTP Request ,200,OK,Thread Group 1-28,bin,true,,10889,127,28,28,http://192.168.109.128/small.jpeg,5,0,4
1697104267328,8,Medium HTTP Request ,200,OK,Thread Group 1-29,bin,true,,441281,127,29,29,http://192.168.109.128/medium.jpg,1,0,0
1697104267338,4,Medium HTTP Request ,200,OK,Thread Group 1-30,bin,true,,441281,127,30,30,http://192.168.109.128/medium.jpg,1,0,1
1697104267348,8,Large HTTP Request ,200,OK,Thread Group 1-31,bin,true,,1088235,126,31,31,http://192.168.109.128/large.jpg,1,0,1
1697104267358,1,Small HTTP Request ,200,OK,Thread Group 1-32,bin,true,,10889,127,32,32,http://192.168.109.128/small.jpeg,1,0,1
1697104267367,1,Small HTTP Request ,200,OK,Thread Group 1-33,bin,true,,10889,127,33,33,http://192.168.109.128/small.jpeg,1,0,1
1697104267377,8,Large HTTP Request ,200,OK,Thread Group 1-34,bin,true,,1088235,126,34,34,http://192.168.109.128/large.jpg,1,0,1
1697104267387,7,Large HTTP Request ,200,OK,Thread Group 1-35,bin,true,,1088235,126,35,35,http://192.168.109.128/large.jpg,1,0,0
1697104267398,2,Small HTTP Request ,200,OK,Thread Group 1-36,bin,true,,10889,127,36,36,http://192.168.109.128/small.jpeg,2,0,1
1697104267408,4,Medium HTTP Request ,200,OK,Thread Group 1-37,bin,true,,441281,127,37,37,http://192.168.109.128/medium.jpg,2,0,1
1697104267417,1,Small HTTP Request ,200,OK,Thread Group 1-38,bin,true,,10889,127,38,38,http://192.168.109.128/small.jpeg,1,0,1
1697104267428,4,Medium HTTP Request ,200,OK,Thread Group 1-39,bin,true,,441281,127,39,39,http://192.168.109.128/medium.jpg,1,0,1
1697104267437,8,Large HTTP Request ,200,OK,Thread Group 1-40,bin,true,,1088235,126,40,40,http://192.168.109.128/large.jpg,1,0,1
1697104267447,10,Large HTTP Request ,200,OK,Thread Group 1-41,bin,true,,1088235,126,41,41,http://192.168.109.128/large.jpg,2,0,1
1697104267459,4,Medium HTTP Request ,200,OK,Thread Group 1-42,bin,true,,441281,127,42,42,http://192.168.109.128/medium.jpg,1,0,0
1697104267467,4,Small HTTP Request ,200,OK,Thread Group 1-43,bin,true,,10889,127,43,43,http://192.168.109.128/small.jpeg,3,0,2
1697104267477,10,Large HTTP Request ,200,OK,Thread Group 1-44,bin,true,,1088235,126,45,45,http://192.168.109.128/large.jpg,2,0,2
1697104267487,5,Small HTTP Request ,200,OK,Thread Group 1-45,bin,true,,10889,127,45,45,http://192.168.109.128/small.jpeg,3,0,2
1697104267498,9,Medium HTTP Request ,200,OK,Thread Group 1-46,bin,true,,441281,127,46,46,http://192.168.109.128/medium.jpg,2,0,2
1697104267508,2,Small HTTP Request ,200,OK,Thread Group 1-47,bin,true,,10889,127,47,47,http://192.168.109.128/small.jpeg,2,0,1
1697104267517,8,Large HTTP Request ,200,OK,Thread Group 1-48,bin,true,,1088235,126,48,48,http://192.168.109.128/large.jpg,1,0,1
1697104267528,8,Large HTTP Request ,200,OK,Thread Group 1-49,bin,true,,1088235,126,49,49,http://192.168.109.128/large.jpg,1,0,0
1697104267537,1,Small HTTP Request ,200,OK,Thread Group 1-50,bin,true,,10889,127,50,50,http://192.168.109.128/small.jpeg,1,0,1
1697104267550,2,Small HTTP Request ,200,OK,Thread Group 1-51,bin,true,,10889,127,51,51,http://192.168.109.128/small.jpeg,2,0,1
1697104267553,0,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,10888,127,51,51,http://192.168.109.128/small.jpeg,0,0,0
1697104267556,6,Medium HTTP Request ,200,OK,Thread Group 1-4,bin,true,,441280,127,52,52,http://192.168.109.128/medium.jpg,0,0,0
1697104267561,8,Large HTTP Request ,200,OK,Thread Group 1-52,bin,true,,1088235,126,53,53,http://192.168.109.128/large.jpg,1,0,0
1697104267567,11,Large HTTP Request ,200,OK,Thread Group 1-53,bin,true,,1088235,126,54,54,http://192.168.109.128/large.jpg,3,0,1
1697104267578,11,Large HTTP Request ,200,OK,Thread Group 1-54,bin,true,,1088235,126,55,55,http://192.168.109.128/large.jpg,3,0,2
