timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697277537828,11,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,1088235,127,1,1,http://192.168.109.128/medium.jpg,2,0,1
1697277537888,7,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,1088234,127,1,1,http://192.168.109.128/medium.jpg,1,0,0
1697277537949,2,Small HTTP Request ,200,OK,Thread Group 1-1,bin,true,,100786,126,2,2,http://192.168.109.128/small.jpg,2,0,0
1697277537928,72,Large HTTP Request ,200,OK,Thread Group 1-2,bin,true,,10175000,126,2,2,http://192.168.109.128/large.jpg,1,0,1
1697277538028,9,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,1088235,127,3,3,http://192.168.109.128/medium.jpg,3,0,2
1697277538049,1,Small HTTP Request ,200,OK,Thread Group 1-2,bin,true,,100786,126,3,3,http://192.168.109.128/small.jpg,1,0,0
1697277538069,58,Large HTTP Request ,200,OK,Thread Group 1-1,bin,true,,10174999,126,3,3,http://192.168.109.128/large.jpg,2,0,0
1697277538128,7,Small HTTP Request ,200,OK,Thread Group 1-4,bin,true,,100787,126,4,4,http://192.168.109.128/small.jpg,4,0,3
1697277538208,8,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,1088234,127,4,4,http://192.168.109.128/medium.jpg,1,0,0
1697277538227,7,Small HTTP Request ,200,OK,Thread Group 1-5,bin,true,,100787,126,5,5,http://192.168.109.128/small.jpg,5,0,1
1697277538228,10,Medium HTTP Request ,200,OK,Thread Group 1-2,bin,true,,1088234,127,5,5,http://192.168.109.128/medium.jpg,2,0,0
1697277538249,4,Small HTTP Request ,200,OK,Thread Group 1-1,bin,true,,100786,126,5,5,http://192.168.109.128/small.jpg,1,0,0
1697277538330,53,Large HTTP Request ,200,OK,Thread Group 1-6,bin,true,,10175000,126,6,6,http://192.168.109.128/large.jpg,2,0,1
1697277538369,55,Large HTTP Request ,200,OK,Thread Group 1-4,bin,true,,10174999,126,6,6,http://192.168.109.128/large.jpg,1,0,0
1697277538447,10,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,1088234,127,7,7,http://192.168.109.128/medium.jpg,1,0,0
1697277538429,65,Large HTTP Request ,200,OK,Thread Group 1-7,bin,true,,10175000,126,7,7,http://192.168.109.128/large.jpg,4,0,3
1697277538529,3,Small HTTP Request ,200,OK,Thread Group 1-2,bin,true,,100786,126,8,8,http://192.168.109.128/small.jpg,1,0,0
1697277538528,11,Medium HTTP Request ,200,OK,Thread Group 1-5,bin,true,,1088234,127,8,8,http://192.168.109.128/medium.jpg,1,0,0
1697277538528,18,Medium HTTP Request ,200,OK,Thread Group 1-8,bin,true,,1088235,127,8,8,http://192.168.109.128/medium.jpg,3,0,2
1697277538547,54,Large HTTP Request ,200,OK,Thread Group 1-1,bin,true,,10174999,126,8,8,http://192.168.109.128/large.jpg,1,0,0
1697277538628,61,Large HTTP Request ,200,OK,Thread Group 1-9,bin,true,,10175000,126,9,9,http://192.168.109.128/large.jpg,5,0,4
1697277538690,5,Small HTTP Request ,200,OK,Thread Group 1-6,bin,true,,100786,126,9,9,http://192.168.109.128/small.jpg,2,0,0
1697277538728,43,Large HTTP Request ,200,OK,Thread Group 1-10,bin,true,,10175000,126,10,10,http://192.168.109.128/large.jpg,5,0,3
1697277538728,85,Large HTTP Request ,200,OK,Thread Group 1-4,bin,true,,10174999,126,10,10,http://192.168.109.128/large.jpg,3,0,0
1697277538828,9,Medium HTTP Request ,200,OK,Thread Group 1-11,bin,true,,1088235,127,11,11,http://192.168.109.128/medium.jpg,2,0,2
1697277538849,5,Small HTTP Request ,200,OK,Thread Group 1-7,bin,true,,100786,126,11,11,http://192.168.109.128/small.jpg,3,0,0
1697277538868,1,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,100786,126,11,11,http://192.168.109.128/small.jpg,1,0,0
1697277538926,12,Medium HTTP Request ,200,OK,Thread Group 1-12,bin,true,,1088235,127,12,12,http://192.168.109.128/medium.jpg,2,0,1
1697277539006,12,Medium HTTP Request ,200,OK,Thread Group 1-2,bin,true,,1088234,127,12,12,http://192.168.109.128/medium.jpg,2,0,0
1697277539027,3,Small HTTP Request ,200,OK,Thread Group 1-1,bin,true,,100786,126,13,13,http://192.168.109.128/small.jpg,1,0,0
1697277539026,13,Medium HTTP Request ,200,OK,Thread Group 1-13,bin,true,,1088235,127,13,13,http://192.168.109.128/medium.jpg,3,0,1
1697277539005,67,Large HTTP Request ,200,OK,Thread Group 1-5,bin,true,,10174999,126,13,13,http://192.168.109.128/large.jpg,2,0,0
1697277539006,67,Large HTTP Request ,200,OK,Thread Group 1-8,bin,true,,10174999,126,13,13,http://192.168.109.128/large.jpg,2,0,0
1697277539127,10,Medium HTTP Request ,200,OK,Thread Group 1-14,bin,true,,1088235,127,14,14,http://192.168.109.128/medium.jpg,3,0,2
1697277539167,2,Small HTTP Request ,200,OK,Thread Group 1-9,bin,true,,100786,126,14,14,http://192.168.109.128/small.jpg,1,0,0
1697277539230,8,Medium HTTP Request ,200,OK,Thread Group 1-6,bin,true,,1088234,127,15,15,http://192.168.109.128/medium.jpg,1,0,0
1697277539230,9,Medium HTTP Request ,200,OK,Thread Group 1-15,bin,true,,1088235,127,15,15,http://192.168.109.128/medium.jpg,3,0,1
1697277539330,6,Medium HTTP Request ,200,OK,Thread Group 1-10,bin,true,,1088234,127,16,16,http://192.168.109.128/medium.jpg,2,0,0
1697277539330,15,Medium HTTP Request ,200,OK,Thread Group 1-4,bin,true,,1088234,127,16,16,http://192.168.109.128/medium.jpg,2,0,0
1697277539325,66,Large HTTP Request ,200,OK,Thread Group 1-16,bin,true,,10175000,126,16,16,http://192.168.109.128/large.jpg,2,0,1
1697277539426,79,Large HTTP Request ,200,OK,Thread Group 1-17,bin,true,,10175000,126,17,17,http://192.168.109.128/large.jpg,3,0,2
1697277539508,7,Medium HTTP Request ,200,OK,Thread Group 1-7,bin,true,,1088234,127,17,17,http://192.168.109.128/medium.jpg,0,0,0
1697277539526,4,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,100786,126,18,18,http://192.168.109.128/small.jpg,1,0,0
1697277539526,5,Small HTTP Request ,200,OK,Thread Group 1-18,bin,true,,100787,126,18,18,http://192.168.109.128/small.jpg,4,0,2
1697277539487,66,Large HTTP Request ,200,OK,Thread Group 1-11,bin,true,,10174999,126,18,18,http://192.168.109.128/large.jpg,1,0,0
1697277539628,57,Large HTTP Request ,200,OK,Thread Group 1-19,bin,true,,10175000,126,19,19,http://192.168.109.128/large.jpg,2,0,1
1697277539646,56,Large HTTP Request ,200,OK,Thread Group 1-12,bin,true,,10174999,126,19,19,http://192.168.109.128/large.jpg,1,0,0
1697277539727,5,Small HTTP Request ,200,OK,Thread Group 1-20,bin,true,,100787,126,20,20,http://192.168.109.128/small.jpg,2,0,1
1697277539727,53,Large HTTP Request ,200,OK,Thread Group 1-2,bin,true,,10174999,126,20,20,http://192.168.109.128/large.jpg,1,0,0
1697277539787,2,Small HTTP Request ,200,OK,Thread Group 1-8,bin,true,,100786,126,20,20,http://192.168.109.128/small.jpg,1,0,0
1697277539787,4,Small HTTP Request ,200,OK,Thread Group 1-5,bin,true,,100786,126,20,20,http://192.168.109.128/small.jpg,1,0,0
1697277539807,2,Small HTTP Request ,200,OK,Thread Group 1-13,bin,true,,100786,126,20,20,http://192.168.109.128/small.jpg,1,0,0
1697277539807,2,Small HTTP Request ,200,OK,Thread Group 1-1,bin,true,,100786,126,20,20,http://192.168.109.128/small.jpg,1,0,0
1697277539827,50,Large HTTP Request ,200,OK,Thread Group 1-21,bin,true,,10175000,126,21,21,http://192.168.109.128/large.jpg,3,0,2
1697277539967,7,Medium HTTP Request ,200,OK,Thread Group 1-14,bin,true,,1088234,127,22,22,http://192.168.109.128/medium.jpg,1,0,0
1697277539927,48,Large HTTP Request ,200,OK,Thread Group 1-22,bin,true,,10175000,126,22,22,http://192.168.109.128/large.jpg,2,0,1
1697277540007,4,Small HTTP Request ,200,OK,Thread Group 1-9,bin,true,,100786,126,22,22,http://192.168.109.128/small.jpg,1,0,0
1697277540026,56,Large HTTP Request ,200,OK,Thread Group 1-23,bin,true,,10175000,126,23,23,http://192.168.109.128/large.jpg,2,0,1
1697277540133,3,Small HTTP Request ,200,OK,Thread Group 1-15,bin,true,,100786,126,24,24,http://192.168.109.128/small.jpg,1,0,0
