r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st
24	0	1292	291800	43272	909556	0	1	620	448	422	483	3	11	81	4	0
0	0	1292	291800	43272	909556	0	0	0	0	1382	821	4	66	30	0	0
0	0	1292	291800	43272	909560	0	0	0	0	272	113	0	1	99	0	0
3	0	1292	291800	43272	909560	0	0	0	0	305	139	0	2	98	0	0
0	0	1292	291800	43284	909548	0	0	0	112	480	415	1	14	77	8	0
0	0	1292	291800	43284	909556	0	0	0	0	371	396	0	7	93	0	0
0	0	1292	291800	43284	909556	0	0	0	0	324	196	0	4	96	0	0
0	0	1292	291800	43284	909556	0	0	0	424	321	105	0	3	97	0	0
0	0	1292	291800	43284	909556	0	0	0	0	320	157	0	4	96	0	0
0	0	1292	291800	43292	909548	0	0	0	24	385	221	0	10	80	9	0
0	0	1292	291800	43292	909556	0	0	0	0	312	131	0	4	96	0	0
0	0	1292	291800	43292	909556	0	0	0	0	351	241	0	11	89	0	0
0	0	1292	291800	43292	909560	0	0	0	648	395	228	0	15	85	0	0
3	0	1292	291800	43292	909560	0	0	0	0	437	203	0	16	84	0	0
0	0	1292	291800	43292	909564	0	0	0	0	877	448	0	46	54	0	0
0	0	1292	291800	43300	909564	0	0	0	36	297	115	1	1	84	14	0
0	0	1292	291800	43300	909564	0	0	0	0	284	86	0	0	100	0	0
1	0	1292	291800	43300	909564	0	0	0	0	312	120	0	2	98	0	0
0	0	1292	291800	43300	909564	0	0	0	0	410	253	0	11	89	0	0
0	0	1292	291800	43300	909560	0	0	0	0	356	163	0	6	94	0	0
0	0	1292	291800	43300	909560	0	0	0	0	298	92	0	3	97	0	0
0	0	1292	291800	43308	909560	0	0	0	48	276	71	0	0	90	10	0
0	0	1292	291800	43308	909560	0	0	0	180	365	121	1	7	92	0	0
0	0	1292	291800	43308	909560	0	0	0	0	368	151	0	6	94	0	0
0	0	1292	291800	43308	909564	0	0	0	0	332	105	0	4	96	0	0
0	0	1292	291800	43308	909564	0	0	0	0	417	166	0	13	88	0	0
0	0	1292	291800	43308	909564	0	0	0	0	334	206	0	8	92	0	0
4	0	1292	291800	43316	909564	0	0	0	20	482	241	0	18	72	9	0
0	0	1292	291800	43316	909568	0	0	0	0	814	392	0	41	59	0	0
0	0	1292	291800	43316	909568	0	0	0	0	290	58	0	0	100	0	0
0	0	1292	291800	43316	909568	0	0	0	0	276	82	0	0	100	0	0
0	0	1292	291800	43316	909568	0	0	0	0	329	157	0	2	98	0	0
0	0	1292	291800	43324	909560	0	0	0	52	352	139	0	7	86	6	0
0	0	1292	291800	43324	909568	0	0	0	0	370	159	0	7	93	0	0
0	0	1292	291800	43324	909572	0	0	0	0	307	74	0	2	98	0	0
1	0	1292	291800	43324	909572	0	0	0	0	278	59	0	0	100	0	0
0	0	1292	291800	43324	909572	0	0	0	0	364	109	0	9	91	0	0
0	0	1292	291800	43332	909564	0	0	0	32	354	197	1	7	83	8	0
0	0	1292	291800	43332	909572	0	0	0	0	325	100	0	4	96	0	0
0	0	1292	291800	43332	909572	0	0	0	0	395	153	0	10	90	0	0
0	0	1292	291800	43348	909600	0	0	0	88	439	184	0	14	77	9	0
3	0	1292	291800	43356	909600	0	0	0	68	506	257	0	20	80	0	0
0	0	1292	291800	43356	909612	0	0	0	60	473	433	0	30	70	0	0
0	0	1292	291800	43356	909616	0	0	0	0	275	71	0	0	100	0	0
0	0	1292	291800	43380	909592	0	0	0	316	318	444	2	4	83	11	0
0	0	1292	291800	43380	909624	0	0	0	0	327	183	0	5	95	0	0
0	0	1292	291800	43380	909624	0	0	0	0	329	140	0	5	95	0	0
0	0	1292	291800	43380	909624	0	0	0	0	390	143	0	10	90	0	0
0	0	1292	291800	43396	909868	0	0	256	132	330	290	1	3	86	10	0
0	0	1292	291800	43396	909872	0	0	0	0	291	77	0	1	99	0	0
0	0	1292	291800	43396	909872	0	0	0	0	303	135	0	5	95	0	0
0	0	1292	291800	43396	909872	0	0	0	0	354	164	0	7	93	0	0
0	0	1292	291800	43396	909872	0	0	0	0	324	93	0	4	96	0	0
0	0	1292	291800	43404	909864	0	0	0	104	395	177	0	11	82	6	0
0	0	1292	291800	43404	909876	0	0	0	0	405	163	0	11	89	0	0
5	0	1292	291800	43404	909876	0	0	0	0	517	335	1	20	79	0	0
0	0	1292	291800	43404	909848	0	0	0	0	766	380	0	42	58	0	0
0	0	1292	291800	43404	909852	0	0	0	0	272	59	0	0	100	0	0
0	0	1292	291800	43404	909852	0	0	0	0	291	146	0	1	99	0	0
0	0	1292	291800	43412	909852	0	0	0	28	294	141	0	1	89	9	0
1	0	1292	291800	43412	909852	0	0	0	0	371	143	0	7	93	0	0
0	0	1292	291800	43412	909852	0	0	0	0	342	158	0	4	96	0	0
0	0	1292	291800	43412	909852	0	0	0	0	318	73	1	4	95	0	0
0	0	1292	291800	43412	909852	0	0	0	32	272	55	0	0	100	0	0
0	0	1292	291800	43412	909852	0	0	0	0	300	117	0	3	97	0	0
0	0	1292	291800	43420	909852	0	0	0	32	402	169	0	12	78	10	0
0	0	1292	291800	43420	909852	0	0	0	0	332	96	0	4	96	0	0
0	0	1292	291800	43420	909856	0	0	0	0	346	145	0	6	94	0	0
0	0	1292	291800	43420	909856	0	0	0	0	399	151	0	9	91	0	0
4	0	1292	291800	43420	909856	0	0	0	0	507	288	0	19	81	0	0
0	0	1292	291800	43428	909852	0	0	0	16	728	382	0	34	58	8	0
0	0	1292	291800	43428	909860	0	0	0	0	282	71	0	0	100	0	0
0	0	1292	291800	43428	909860	0	0	0	0	284	84	0	2	98	0	0
0	0	1292	291800	43428	909860	0	0	0	36	327	138	0	4	96	0	0
0	0	1292	291800	43428	909860	0	0	0	0	341	153	0	6	94	0	0
0	0	1292	291800	43436	909852	0	0	0	20	335	146	0	4	86	9	0
0	0	1292	291800	43436	909860	0	0	0	0	301	69	0	3	97	0	0
0	0	1292	291800	43436	909860	0	0	0	0	269	45	0	0	100	0	0
0	0	1292	291800	43436	909860	0	0	0	860	454	170	0	15	85	0	0
0	0	1292	291800	43436	909864	0	0	0	0	358	136	0	5	95	0	0
0	0	1292	291800	43444	909856	0	0	0	28	329	169	1	5	72	21	0
0	0	1292	291800	43444	909864	0	0	0	0	423	160	0	13	88	0	0
0	0	1292	291800	43444	909864	0	0	0	0	365	140	0	7	93	0	0
5	0	1292	291800	43444	909864	0	0	0	0	488	242	0	18	82	0	0
0	0	1292	291800	43444	909868	0	0	0	0	587	363	0	32	68	0	0
0	0	1292	291800	43444	909868	0	0	0	0	276	51	0	0	100	0	0
0	0	1292	291800	43452	909868	0	0	0	16	294	96	0	1	88	11	0
0	0	1292	291800	43452	909868	0	0	0	0	327	147	0	5	95	0	0
0	0	1292	291800	43452	909868	0	0	0	4	343	159	0	5	95	0	0
0	0	1292	291800	43452	909872	0	0	0	0	360	143	0	8	92	0	0
0	0	1292	291800	43452	909872	0	0	0	0	281	129	0	1	99	0	0
0	0	1292	291800	43452	909872	0	0	0	0	271	62	0	0	100	0	0
0	0	1292	291800	43460	909872	0	0	0	16	400	135	0	10	81	8	0
0	0	1292	291800	43460	909872	0	0	0	0	384	148	0	11	89	0	0
0	0	1292	291800	43460	909872	0	0	0	4	303	93	0	3	97	0	0
0	0	1292	291800	43460	909872	0	0	0	0	396	190	0	9	91	0	0
0	0	1292	291800	43460	909872	0	0	0	0	419	179	0	13	88	0	0
5	0	1292	291800	43468	909864	0	0	0	16	499	299	0	18	77	5	0
0	0	1292	291800	43468	909876	0	0	0	0	718	452	0	43	57	0	0
1	0	1292	291800	43468	909880	0	0	0	48	1177	590	0	73	27	0	0
0	0	1292	291800	43468	909892	0	0	0	0	601	224	0	25	75	0	0
0	0	1292	291800	43468	909892	0	0	0	0	291	96	0	0	100	0	0
0	0	1292	291800	43468	909892	0	0	0	0	265	45	0	0	100	0	0
0	0	1292	291800	43476	909892	0	0	0	28	274	61	0	1	89	9	0
0	0	1292	291800	43476	909892	0	0	0	0	368	155	0	5	95	0	0
0	0	1292	291800	43476	909892	0	0	0	0	430	164	0	14	86	0	0
0	0	1292	291800	43476	909892	0	0	0	0	355	115	0	6	94	0	0
0	0	1292	291800	43476	909896	0	0	0	0	331	103	0	5	95	0	0
0	0	1292	291800	43476	909896	0	0	0	0	424	165	0	13	88	0	0
0	0	1292	291800	43484	909896	0	0	0	16	342	121	0	3	87	10	0
0	0	1292	291800	43484	909896	0	0	0	0	330	130	0	5	95	0	0
0	0	1292	291800	43484	909896	0	0	0	0	357	162	0	7	93	0	0
0	0	1292	291800	43484	909896	0	0	0	0	382	180	1	6	92	0	0
6	0	1292	291800	43484	909896	0	0	0	0	446	237	0	15	85	0	0
0	0	1292	291800	43484	909900	0	0	0	0	543	292	0	23	77	0	0
1	0	1292	291800	43492	909900	0	0	0	16	306	87	0	1	89	9	0
0	0	1292	291800	43492	909900	0	0	0	0	280	80	0	0	100	0	0
0	0	1292	291800	43492	909900	0	0	0	0	279	80	0	1	99	0	0
0	0	1292	291800	43492	909900	0	0	0	0	329	127	0	5	95	0	0
0	0	1292	291800	43492	909900	0	0	0	0	386	166	0	10	90	0	0
0	0	1292	291800	43492	909904	0	0	0	0	373	125	0	9	91	0	0
0	0	1292	291800	43500	909904	0	0	0	16	328	118	0	6	88	6	0
0	0	1292	291800	43500	909904	0	0	0	0	367	146	0	10	90	0	0
0	0	1292	291800	43500	909904	0	0	0	0	352	168	1	6	93	0	0
0	0	1292	291800	43500	909904	0	0	0	0	318	133	0	5	95	0	0
0	0	1292	291800	43500	909904	0	0	0	0	360	157	1	7	92	0	0
0	0	1292	291800	43508	909900	0	0	0	16	411	166	0	13	78	9	0
6	0	1292	291800	43508	909908	0	0	0	0	488	257	0	17	83	0	0
0	0	1292	291800	43508	909908	0	0	0	0	534	276	0	23	77	0	0
0	0	1292	291800	43508	909912	0	0	0	0	270	58	0	0	100	0	0
0	0	1292	291800	43508	909912	0	0	0	36	284	89	0	1	99	0	0
0	0	1292	291800	43508	909912	0	0	0	0	278	88	0	1	99	0	0
0	0	1292	291800	43516	909912	0	0	0	32	332	127	0	5	85	9	0
0	0	1292	291800	43516	909912	0	0	0	0	411	176	0	13	87	0	0
0	0	1292	291800	43516	909912	0	0	0	0	361	166	1	8	91	0	0
0	0	1292	291800	43516	909912	0	0	0	16	368	116	0	7	93	0	0
0	0	1292	291800	43516	909912	0	0	0	0	469	162	0	16	84	0	0
1	0	1292	291800	43524	909904	0	0	0	16	341	134	0	7	85	7	0
0	0	1292	291800	43524	909912	0	0	0	0	320	144	0	5	95	0	0
0	0	1292	291800	43524	909916	0	0	0	0	402	159	0	12	88	0	0
0	0	1292	291800	43524	909916	0	0	0	0	374	162	0	8	92	0	0
4	0	1292	291800	43524	909916	0	0	0	0	504	265	0	19	81	0	0
0	0	1292	291800	43524	909916	0	0	0	0	548	254	0	25	75	0	0
0	0	1292	291800	43532	909920	0	0	0	16	287	76	0	0	90	10	0
0	0	1292	291800	43532	909920	0	0	0	0	275	77	0	0	100	0	0
0	0	1292	291800	43532	909920	0	0	0	0	293	127	1	1	98	0	0
0	0	1292	291800	43532	909920	0	0	0	0	366	131	0	7	93	0	0
0	0	1292	291800	43532	909920	0	0	0	0	357	179	0	5	95	0	0
2	0	1292	291800	43532	909920	0	0	0	0	337	127	0	6	94	0	0
0	0	1292	291800	43540	909920	0	0	0	16	318	107	0	6	87	7	0
0	0	1292	291800	43540	909924	0	0	0	0	338	180	0	9	91	0	0
0	0	1292	291800	43540	909928	0	0	0	0	372	135	0	8	92	0	0
0	0	1292	291800	43540	909928	0	0	0	0	332	131	0	4	96	0	0
0	0	1292	291800	43540	909928	0	0	0	0	327	145	0	4	96	0	0
0	0	1292	291800	43548	909920	0	0	0	16	425	176	0	12	82	6	0
3	0	1292	291800	43548	909928	0	0	0	0	526	293	0	23	77	0	0
0	0	1292	291800	43548	909932	0	0	0	0	586	303	1	26	73	0	0
0	0	1292	291800	43548	909932	0	0	0	0	271	58	0	0	100	0	0
0	0	1292	291800	43548	909932	0	0	0	0	274	87	0	0	100	0	0
0	0	1292	291800	43548	909932	0	0	0	0	274	70	0	0	100	0	0
1	0	1292	291800	43556	909932	0	0	0	16	336	146	0	4	87	8	0
0	0	1292	291800	43556	909932	0	0	0	0	384	152	0	8	92	0	0
1	0	1292	291800	43556	909932	0	0	0	0	382	129	0	9	91	0	0
0	0	1292	291800	43556	909936	0	0	0	0	358	94	0	7	93	0	0
0	0	1292	291800	43556	909936	0	0	0	0	428	159	0	14	86	0	0
0	0	1292	291800	43564	909928	0	0	0	48	347	152	0	6	86	7	0
0	0	1292	291800	43564	909936	0	0	0	0	373	141	0	8	92	0	0
0	0	1292	291800	43564	909936	0	0	0	0	391	198	1	9	90	0	0
0	0	1292	291800	43564	909936	0	0	0	0	380	158	0	9	91	0	0
4	0	1292	291800	43564	909936	0	0	0	0	555	281	0	22	78	0	0
0	0	1292	291800	43564	909940	0	0	0	0	514	241	0	20	80	0	0
0	0	1292	291800	43572	909940	0	0	0	36	286	75	0	1	90	9	0
0	0	1292	291800	43572	909940	0	0	0	0	300	86	0	1	99	0	0
0	0	1292	291800	43572	909940	0	0	0	0	278	79	0	0	100	0	0
2	0	1292	291800	43572	909940	0	0	0	0	306	183	0	2	98	0	0
0	0	1292	291800	43572	909940	0	0	0	0	442	180	0	14	86	0	0
2	0	1292	291800	43572	909944	0	0	0	0	360	130	0	9	91	0	0
0	0	1292	291800	43580	909944	0	0	0	16	316	129	0	8	84	7	0
0	0	1292	291800	43580	909944	0	0	0	0	392	199	0	11	89	0	0
0	0	1292	291800	43580	909944	0	0	0	0	352	123	0	6	94	0	0
