 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 627880  39204 661964    0    0  3064   205  492 1046  7 23 58 12  0
 1  0      0 627880  39204 662008    0    0     0     0  331  508  0 21 79  0  0
 1  0      0 627880  39204 662008    0    0     0     0  335  544  1  6 93  0  0
 0  0      0 627880  39204 662008    0    0     0     0  276   66  0  0 100  0  0
 0  0      0 627880  39204 662008    0    0     0     0  275  132  0  0 100  0  0
 0  0      0 627880  39204 662008    0    0     0     0  395  677  0  8 92  0  0
 0  0      0 627880  39212 662008    0    0     0    28  414  871  0  8 84  9  0
 0  0      0 627880  39212 662008    0    0     0     0  306  298  0  0 100  0  0
 0  0      0 627880  39212 662008    0    0     0     0  283  117  0  1 99  0  0
 0  0      0 627880  39212 662008    0    0     0     0  286   97  0  3 97  0  0
 1  0      0 627880  39212 662008    0    0     0   104  712  317  1 40 59  0  0
 1  0      0 627880  39212 662008    0    0     0     0  326  322  1  6 93  0  0
 6  0      0 627880  39220 662008    0    0     0    28  578  287  0 24 75  1  0
18  0      0 627880  39220 662012    0    0     0     0 2035  771  0 100  0  0  0
 0  0      0 627880  39220 662016    0    0     0     0 2093  362  0 90 10  0  0
 0  0      0 627880  39220 662016    0    0     0     0  306  248  0  2 98  0  0
 0  0      0 627880  39220 662016    0    0     0     0  274   56  0  0 100  0  0
 1  0      0 627880  39220 662016    0    0     0     0  287   81  0  2 98  0  0
 0  0      0 627880  39228 662016    0    0     0    16  302  151  0  2 88  9  0
 0  0      0 627880  39228 662016    0    0     0     0  288  135  0  0 100  0  0
 0  0      0 627880  39228 662016    0    0     0     0  260   40  0  0 100  0  0
 0  0      0 627880  39228 662016    0    0     0     0  272   93  1  0 99  0  0
 0  0      0 627880  39228 662016    0    0     0     0  260   39  0  0 100  0  0
 0  0      0 627880  39228 662016    0    0     0     0  313   94  0  5 95  0  0
 0  0      0 627880  39236 662016    0    0     0    16  459  168  0 13 78 10  0
 0  0      0 627880  39236 662016    0    0     0     0  291   71  0  2 98  0  0
12  0      0 627880  39236 662016    0    0     0     0  674  263  0 26 74  0  0
27  0      0 627880  39236 662020    0    0     0     0 2048  680  0 100  0  0  0
28  0      0 627380  39236 662020    0    0     0     0 2300  294  0 100  0  0  0
18  0      0 627380  39244 662016    0    0     0    16 2296  359  0 100  0  0  0
 0  0      0 627380  39244 662024    0    0     0     0 1653  254  0 71 29  0  0
 0  0      0 627380  39244 662024    0    0     0     0  278   70  0  1 99  0  0
 0  0      0 627380  39244 662024    0    0     0     0  306  157  0  2 98  0  0
 0  0      0 627380  39244 662024    0    0     0     0  271   81  0  2 98  0  0
 0  0      0 627380  39244 662024    0    0     0     0  275   95  0  0 100  0  0
 0  0      0 627380  39252 662024    0    0     0    16  297  126  0  1 89  9  0
 0  0      0 627380  39252 662024    0    0     0     0  275   39  0  0 100  0  0
 0  0      0 627380  39252 662024    0    0     0     0  286   88  0  2 98  0  0
 0  0      0 627380  39252 662024    0    0     0     0  358  216  0 16 84  0  0
 0  0      0 627380  39252 662028    0    0     0     0  274   71  0  0 100  0  0
12  0      0 627380  39252 662028    0    0     0     0  671  294  0 30 70  0  0
31  0      0 627380  39260 662028    0    0     0    48 2205  626  0 100  0  0  0
25  0      0 627380  39260 662032    0    0     0     0 2331  314  0 100  0  0  0
