timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697887290575,177,ExtraLarge HTTP Request ,200,OK,Thread Group 1-2,bin,true,,5982347,131,4,4,http://192.168.109.128/EXTRALARGE.jpg,30,0,22
1697887290645,107,ExtraLarge HTTP Request ,200,OK,Thread Group 1-3,bin,true,,5982347,131,4,4,http://192.168.109.128/EXTRALARGE.jpg,2,0,1
1697887290575,177,ExtraLarge HTTP Request ,200,OK,Thread Group 1-1,bin,true,,5982347,131,4,4,http://192.168.109.128/EXTRALARGE.jpg,30,0,22
1697887290754,4,Medium HTTP Request ,200,OK,Thread Group 1-2,bin,true,,100786,127,4,4,http://192.168.109.128/MEDIUM.jpg,4,0,0
1697887290754,5,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,100786,127,4,4,http://192.168.109.128/MEDIUM.jpg,5,0,0
1697887290754,14,Large HTTP Request ,200,OK,Thread Group 1-1,bin,true,,1088234,126,4,4,http://192.168.109.128/LARGE.jpg,3,0,0
1697887290746,52,ExtraLarge HTTP Request ,200,OK,Thread Group 1-4,bin,true,,5982347,131,4,4,http://192.168.109.128/EXTRALARGE.jpg,3,0,2
1697887290806,4,Medium HTTP Request ,200,OK,Thread Group 1-4,bin,true,,100786,127,4,4,http://192.168.109.128/MEDIUM.jpg,2,0,0
1697887290815,6,ExtraSmall HTTP Request ,200,OK,Thread Group 1-3,bin,true,,16891,131,4,4,http://192.168.109.128/EXTRASMALL.jpg,6,0,0
1697887290815,19,Large HTTP Request ,200,OK,Thread Group 1-1,bin,true,,1088234,126,4,4,http://192.168.109.128/LARGE.jpg,1,0,0
1697887290874,3,Medium HTTP Request ,200,OK,Thread Group 1-3,bin,true,,100786,127,5,5,http://192.168.109.128/MEDIUM.jpg,2,0,0
1697887290874,3,Medium HTTP Request ,200,OK,Thread Group 1-1,bin,true,,100786,127,5,5,http://192.168.109.128/MEDIUM.jpg,2,0,0
1697887290815,71,ExtraLarge HTTP Request ,200,OK,Thread Group 1-2,bin,true,,5982346,131,5,5,http://192.168.109.128/EXTRALARGE.jpg,2,0,0
1697887290890,25,Large HTTP Request ,200,OK,Thread Group 1-2,bin,true,,1088234,126,5,5,http://192.168.109.128/LARGE.jpg,3,0,0
1697887290866,77,ExtraLarge HTTP Request ,200,OK,Thread Group 1-4,bin,true,,5982346,131,5,5,http://192.168.109.128/EXTRALARGE.jpg,1,0,0
1697887290945,7,ExtraSmall HTTP Request ,200,OK,Thread Group 1-6,bin,true,,16892,131,6,6,http://192.168.109.128/EXTRASMALL.jpg,5,0,1
1697887290949,7,Small HTTP Request ,200,OK,Thread Group 1-3,bin,true,,49715,126,6,6,http://192.168.109.128/SMALL.jpg,7,0,0
1697887290845,118,ExtraLarge HTTP Request ,200,OK,Thread Group 1-5,bin,true,,5982347,131,6,6,http://192.168.109.128/EXTRALARGE.jpg,2,0,1
1697887290943,22,Large HTTP Request ,200,OK,Thread Group 1-4,bin,true,,1088234,126,6,6,http://192.168.109.128/LARGE.jpg,1,0,0
1697887290965,3,Small HTTP Request ,200,OK,Thread Group 1-2,bin,true,,49715,126,6,6,http://192.168.109.128/SMALL.jpg,3,0,0
1697887290950,22,Large HTTP Request ,200,OK,Thread Group 1-1,bin,true,,1088234,126,6,6,http://192.168.109.128/LARGE.jpg,4,0,0
