 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16468  89784  36652 773800    0    3   194    59  853  424  1 20 78  0  0
 0  0  16468  89784  36652 773804    0    0     0     0  414  475  2 13 85  0  0
 0  0  16468  89784  36652 773812    0    0     0     0 1206  527  2 36 62  0  0
 1  0  16468  89784  36664 773804    0    0     0   124 1152  567  1 39 60  0  0
 1  0  16468  89784  36664 773828    0    0     0     0 1195  547  4 39 57  0  0
 0  0  16468  89784  36664 773836    0    0     0     0 1309  591  1 58 41  0  0
 0  0  16468  89784  36664 773840    0    0     0     0 1483  550  0 58 42  0  0
 0  0  16468  89784  36664 773848    0    0     0     0 1320  605  1 52 47  0  0
 1  0  16468  89784  36672 773856    0    0     0   464 1223  656  1 54 45  0  0
 1  0  16468  89784  36672 773860    0    0     0     0 1315  646  1 48 51  0  0
 1  0  16468  89784  36672 773868    0    0     0     0 1156  467  2 30 68  0  0
 0  0  16468  89784  36672 773872    0    0     0     0 1314  526  1 50 50  0  0
 1  0  16468  89784  36672 773880    0    0     0     0 1200  398  0 30 70  0  0
 2  0  16468  89784  36680 773876    0    0     0    16 1056  479  1 35 64  0  0
 0  0  16468  89784  36680 773888    0    0     0     0 1106  442  1 33 66  0  0
 0  0  16468  89784  36680 773896    0    0     0     0 1458  430  1 44 55  0  0
 2  0  16468  89784  36696 773928    0    0     0    88 1098  473  0 39 61  0  0
 1  0  16468  89784  36696 773952    0    0     0     0 1315  414  1 39 60  0  0
 2  0  16468  89784  36696 773960    0    0     0     0 1527  478  0 48 52  0  0
 1  0  16468  89784  36696 773964    0    0     0     0 1182  434  1 34 65  0  0
 1  0  16468  89784  36696 773968    0    0     0     0 1164  406  1 36 63  0  0
 0  0  16468  89784  36704 773976    0    0     0    32 1362  469  2 46 52  0  0
 3  0  16468  89784  36704 773980    0    0     0     0 1441  446  0 45 55  0  0
 0  0  16468  89784  36704 773988    0    0     0   124 1006  567  2 60 38  0  0
 0  0  16468  89784  36704 773992    0    0     0     0 1059  399  0 23 77  0  0
 0  0  16468  89784  36704 773996    0    0     0     0 1292  463  0 46 54  0  0
 1  0  16468  89784  36712 774000    0    0     0    16 1317  420  1 39 60  0  0
 0  0  16468  89784  36712 774008    0    0     0     0 1471  443  0 44 56  0  0
 0  0  16468  89784  36712 774012    0    0     0     0 1551  462  0 52 48  0  0
 0  0  16468  89784  36712 774016    0    0     0     0 1092  471  0 41 59  0  0
 0  0  16468  89784  36712 774024    0    0     0     0 1547  477  1 49 50  0  0
 0  0  16468  89784  36720 774028    0    0     0    16 1174  429  0 39 61  0  0
 2  0  16468  89784  36720 774032    0    0     0     0 1157  419  0 36 64  0  0
 0  0  16468  89784  36720 774040    0    0     0   200 1213  439  1 39 60  0  0
 0  0  16468  89784  36720 774044    0    0     0     0 1065  447  0 35 65  0  0
 0  0  16468  89784  36720 774048    0    0     0     0 1339  488  0 49 51  0  0
 0  0  16468  89784  36728 774056    0    0     0    36 1195  396  0 26 74  0  0
 2  0  16468  89784  36728 774060    0    0     0     0 1164  436  0 30 70  0  0
 1  0  16468  89784  36728 774064    0    0     0     0 1537  445  0 46 54  0  0
 0  0  16468  89784  36728 774072    0    0     0     0 1635  478  2 56 42  0  0
 1  0  16468  89784  36728 774076    0    0     0     0 1393  478  1 50 50  0  0
 1  0  16468  89784  36736 774080    0    0     0    16  958  503  0 38 62  0  0
 0  0  16468  89784  36736 774092    0    0     0     0 1519  505  1 48 51  0  0
 0  0  16468  89784  36736 774096    0    0     0     0 1117  456  1 33 66  0  0
 2  0  16468  89784  36736 774100    0    0     0     0 1394  434  2 46 52  0  0
 0  0  16468  89784  36736 774108    0    0     0     0 1229  447  1 33 66  0  0
 1  0  16468  89784  36744 774112    0    0     0    16 1011  516  1 52 47  0  0
 0  0  16468  89784  36744 774116    0    0     0     0 1312  470  1 41 58  0  0
 0  0  16468  89784  36744 774124    0    0     0     0 1375  445  0 45 55  0  0
 1  0  16468  89784  36744 774132    0    0     0    36 1455  508  1 50 49  0  0
 0  0  16468  89784  36744 774140    0    0     0     0 1255  476  0 52 48  0  0
 0  0  16468  89784  36752 774144    0    0     0    16 1045  554  1 56 43  0  0
 0  0  16468  89784  36752 774148    0    0     0     0 1370  491  0 50 50  0  0
 1  0  16468  89784  36752 774152    0    0     0     0 1270  453  1 45 54  0  0
 0  0  16468  89784  36752 774160    0    0     0     0 1379  459  0 41 59  0  0
 0  0  16468  89784  36752 774164    0    0     0     0 1448  426  0 43 57  0  0
 4  0  16468  89784  36760 774164    0    0     0    16 1189  442  1 40 59  0  0
 0  0  16468  89784  36760 774176    0    0     0     0 1317  429  1 39 60  0  0
 1  0  16468  89784  36760 774180    0    0     0     0 1428  439  0 42 58  0  0
 1  0  16468  89784  36760 774184    0    0     0    20 1441  486  1 47 52  0  0
 1  0  16468  89784  36760 774192    0    0     0     0 1182  454  0 45 55  0  0
 1  0  16468  89784  36760 774196    0    0     0     0 1352  480  0 52 48  0  0
 0  0  16468  89784  36768 774204    0    0     0    16 1010  446  1 36 63  0  0
 0  0  16468  89784  36768 774208    0    0     0     0 1350  518  2 51 47  0  0
 0  0  16468  89784  36768 774212    0    0     0   176 1258  547  2 41 57  0  0
 1  0  16468  89784  36768 774220    0    0     0     0 1328  481  0 43 57  0  0
 0  0  16468  89784  36768 774228    0    0     0     0 1294  469  0 35 65  0  0
 0  0  16468  89784  36776 774232    0    0     0    36 1141  486  0 29 71  0  0
 1  0  16468  89784  36776 774236    0    0     0     0 1336  474  0 42 58  0  0
 0  0  16468  89784  36776 774244    0    0     0     0 1256  493  0 44 56  0  0
 1  0  16468  89784  36776 774248    0    0     0     0 1281  443  1 36 63  0  0
 1  0  16468  89784  36776 774256    0    0     0     0 1504  506  0 48 52  0  0
 1  0  16468  89784  36784 774260    0    0     0    16 1501  484  0 52 48  0  0
 0  0  16468  89784  36784 774264    0    0     0     0 1207  467  1 40 59  0  0
 0  0  16468  89784  36784 774272    0    0     0     0 1441  462  1 45 54  0  0
 0  0  16468  89784  36784 774276    0    0     0     0 1387  433  0 40 60  0  0
 0  0  16468  89784  36784 774280    0    0     0     0 1456  469  1 53 46  0  0
 0  0  16468  89784  36792 774284    0    0     0    16 1301  419  0 42 58  0  0
 4  0  16468  89784  36792 774292    0    0     0     0 1225  418  0 35 65  0  0
 0  0  16468  89784  36792 774296    0    0     0     0 1311  422  1 39 60  0  0
 1  0  16468  89784  36792 774304    0    0     0     0 1284  426  0 40 60  0  0
 0  0  16468  89784  36792 774308    0    0     0     0 1289  424  1 43 56  0  0
 1  0  16468  89784  36800 774312    0    0     0    16 1278  433  0 37 63  0  0
 0  0  16468  89784  36800 774320    0    0     0     0 1218  430  1 37 62  0  0
 0  0  16468  89784  36800 774324    0    0     0     0 1110  382  1 31 68  0  0
 0  0  16468  89784  36800 774328    0    0     0     0 1304  450  1 43 56  0  0
 0  0  16468  89784  36800 774332    0    0     0     0 1575  424  1 55 44  0  0
 0  0  16468  89784  36808 774344    0    0     0    16 1219  497  1 54 45  0  0
 2  0  16468  89784  36808 774348    0    0     0     0 1095  423  1 36 63  0  0
 0  0  16468  89784  36808 774352    0    0     0     0 1044  431  1 32 67  0  0
 1  0  16468  89784  36808 774360    0    0     0     0 1569  446  0 53 47  0  0
 0  0  16468  89784  36808 774364    0    0     0     0 1174  459  0 48 52  0  0
 1  0  16468  89784  36816 774372    0    0     0    16 1248  441  0 35 65  0  0
 0  0  16468  89784  36816 774376    0    0     0     0 1402  451  1 50 49  0  0
 0  0  16468  89784  36816 774380    0    0     0     0 1254  439  1 39 60  0  0
 0  0  16468  89784  36816 774388    0    0     0   196 1371  471  2 47 51  0  0
 0  0  16468  89784  36816 774392    0    0     0     0 1311  444  1 45 54  0  0
 1  0  16468  89784  36824 774396    0    0     0    28 1441  477  0 49 51  0  0
 0  0  16468  89784  36824 774404    0    0     0     0 1442  453  1 49 50  0  0
 0  0  16468  89784  36824 774408    0    0     0     0 1307  418  0 40 60  0  0
 2  0  16468  89784  36824 774416    0    0     0     0 1407  442  1 48 51  0  0
 0  0  16468  89784  36824 774424    0    0     0     0 1535  444  1 52 47  0  0
 4  0  16468  89784  36832 774428    0    0     0    16 1426  436  0 44 56  0  0
 0  0  16468  89784  36832 774432    0    0     0     0 1173  433  1 41 58  0  0
 0  0  16468  89784  36832 774440    0    0     0     0 1226  438  1 45 54  0  0
 1  0  16468  89784  36832 774444    0    0     0     0 1398  429  0 43 57  0  0
 1  0  16468  89784  36832 774448    0    0     0     0 1339  408  1 39 60  0  0
 0  0  16468  89784  36840 774456    0    0     0    16 1268  454  1 40 59  0  0
 2  0  16468  89784  36840 774460    0    0     0     0 1064  410  0 32 68  0  0
 0  0  16468  89784  36840 774468    0    0     0     0 1448  492  1 56 43  0  0
 0  0  16468  89784  36840 774476    0    0     0     0 1048  392  0 31 69  0  0
 2  0  16468  89784  36840 774480    0    0     0     0 1283  428  1 37 62  0  0
 1  0  16468  89784  36848 774484    0    0     0    16 1468  456  2 49 50  0  0
 0  0  16468  89784  36848 774492    0    0     0     0 1248  434  0 44 56  0  0
 0  0  16468  89784  36848 774496    0    0     0     0 1424  454  0 44 56  0  0
 1  0  16468  89784  36848 774500    0    0     0     0 1308  430  1 43 56  0  0
 0  0  16468  89784  36848 774508    0    0     0     0 1155  396  1 34 65  0  0
 2  0  16468  89784  36856 774512    0    0     0    16 1149  466  0 36 64  0  0
 1  0  16468  89784  36856 774516    0    0     0     0 1235  438  0 46 54  0  0
 0  0  16468  89784  36856 774524    0    0     0     0 1208  436  0 38 62  0  0
 1  0  16468  89784  36856 774528    0    0     0     0 1401  399  2 43 55  0  0
 3  0  16468  89784  36856 774532    0    0     0     0 1396  460  0 46 54  0  0
 1  0  16468  89784  36864 774540    0    0     0    16 1287  448  1 41 58  0  0
 0  0  16468  89784  36872 774544    0    0     0    48 1307  490  0 38 62  0  0
