 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  21348  93848  40540 758644    0    3   142    49  923  446  1 24 75  0  0
 1  0  21348  93848  40540 758648    0    0     0     0  237  969  4  3 93  0  0
 2  0  21348  93848  40540 758648    0    0     0     0  248 1031  3  4 93  0  0
 1  0  21348  93848  40540 758648    0    0     0     0  219  861  5  1 94  0  0
 2  0  21348  93848  40552 758652    0    0     0   116  933  477  2 31 67  0  0
 4  0  21348  93848  40552 758660    0    0     0     0 1240  655  1 76 23  0  0
 0  0  21348  93848  40560 758668    0    0     0    44 1239  704  2 61 37  0  0
 3  0  21348  93848  40560 758680    0    0     0     0 1292  713  1 66 33  0  0
 0  0  21348  93848  40568 758688    0    0     0    72 1256  771  0 77 23  0  0
 5  0  21348  93848  40568 758696    0    0     0     0 1405  700  1 77 22  0  0
 2  0  21348  93848  40568 758704    0    0     0    32  931  774  0 72 28  0  0
 0  0  21348  93848  40568 758712    0    0     0     0 1465  578  1 39 60  0  0
 1  0  21348  93848  40568 758724    0    0     0     0 1344  669  1 56 43  0  0
 1  0  21348  93848  40576 758728    0    0     0    56 1163  697  1 68 31  0  0
 3  0  21348  93848  40576 758732    0    0     0     0  275  840  0 100  0  0  0
 2  0  21348  93848  40576 758740    0    0     0     0  274  827  2 98  0  0  0
 3  0  21348  93848  40576 758752    0    0     0     0 1117  622  0 76 24  0  0
 2  0  21348  93848  40576 758760    0    0     0     0 1150  654  1 84 15  0  0
 2  0  21348  93848  40584 758756    0    0     0    16 1389  598  0 64 36  0  0
 1  0  21348  93848  40584 758776    0    0     0     0  779  681  2 70 28  0  0
 0  0  21348  93848  40584 758776    0    0     0     0 1377  521  1 40 59  0  0
 2  0  21348  93848  40584 758792    0    0     0   204 1313  610  1 56 43  0  0
 1  0  21348  97680  40584 758796    0    0     0     0 1472  725  1 65 34  0  0
 3  0  21348  97680  40592 758800    0    0     0    48 1026  701  0 89 11  0  0
 2  0  21348  97680  40592 758812    0    0     0     0  489  790  1 92  7  0  0
 2  0  21348  97680  40592 758812    0    0     0     0  842  674  1 85 14  0  0
 0  0  21348  97680  40592 758824    0    0     0   344 1142  615  0 63 37  0  0
 2  0  21348  97680  40592 758824    0    0     0     0 1533  576  0 55 45  0  0
 2  0  21348  97680  40600 758840    0    0     0    20 1249  568  1 40 59  0  0
 0  0  21348  97680  40600 758848    0    0     0     0 1441  572  1 62 37  0  0
 2  0  21348  97680  40600 758848    0    0     0     0 1559  552  1 46 53  0  0
 4  0  21348  97680  40600 758864    0    0     0   436 1334  586  1 69 30  0  0
 2  0  21348  97680  40600 758868    0    0     0     0 1228  649  1 66 33  0  0
 0  0  21348  97680  40608 758876    0    0     0    32 1156  681  1 75 24  0  0
 4  0  21348  97680  40608 758880    0    0     0     0 1372  588  0 49 51  0  0
 1  0  21348  97680  40608 758892    0    0     0     0 1201  552  0 43 57  0  0
 0  0  21348  97680  40608 758900    0    0     0   256  958  654  1 58 41  0  0
 2  0  21348  97680  40608 758908    0    0     0     0  900  636  1 70 29  0  0
 0  0  21348  97680  40616 758900    0    0     0    28 1068  677  0 76 24  0  0
 0  0  21348  97680  40616 758920    0    0     0     0 1382  584  1 48 51  0  0
 1  0  21348  97680  40616 758928    0    0     0     0  882  666  1 76 23  0  0
 0  0  21348  97680  40616 758936    0    0     0     0 1370  526  1 55 44  0  0
 3  0  21348  97680  40616 758944    0    0     0     0 1517  580  1 58 41  0  0
 0  0  21348  97680  40624 758936    0    0     0    16 1274  628  0 60 40  0  0
 1  0  21348  97680  40624 758960    0    0     0     0 1267  583  2 57 41  0  0
 0  0  21348  97680  40624 758968    0    0     0     0 1191  618  1 63 36  0  0
 2  0  21348  97680  40624 758976    0    0     0     0 1361  589  1 69 30  0  0
