timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701345038538,44,R1_7,200,OK,Thread Group 1 1-1,bin,true,,3749357,127,1,1,http://192.168.109.128/large1.jpg,3,0,1
1701345038658,11,R1_4,200,OK,Thread Group 1 1-1,bin,true,,1088234,128,1,1,http://192.168.109.128/medium1.jpg,2,0,0
1701345038778,1,R1_3,200,OK,Thread Group 1 1-1,bin,true,,121341,127,1,1,http://192.168.109.128/small3.jpg,1,0,0
1701345038898,4,R1_2,200,OK,Thread Group 1 1-1,bin,true,,100786,127,1,1,http://192.168.109.128/small2.jpg,3,0,0
1701345038948,31,R1_7,200,OK,Thread Group 1 1-2,bin,true,,3749357,127,2,2,http://192.168.109.128/large1.jpg,2,0,1
1701345039018,28,R1_7,200,OK,Thread Group 1 1-1,bin,true,,3749356,127,2,2,http://192.168.109.128/large1.jpg,1,0,0
1701345039186,2,R1_2,200,OK,Thread Group 1 1-2,bin,true,,100786,127,2,2,http://192.168.109.128/small2.jpg,2,0,0
1701345039261,12,R1_6,200,OK,Thread Group 1 1-1,bin,true,,1699255,129,2,2,http://192.168.109.128/medium3.jpeg,2,0,0
1701345039353,3,R1_2,200,OK,Thread Group 1 1-3,bin,true,,100787,127,3,3,http://192.168.109.128/small2.jpg,2,0,1
1701345039426,26,R1_7,200,OK,Thread Group 1 1-2,bin,true,,3749356,127,3,3,http://192.168.109.128/large1.jpg,1,0,0
1701345039499,31,R1_8,200,OK,Thread Group 1 1-1,bin,true,,3919244,127,3,3,http://192.168.109.128/large2.jpg,1,0,0
1701345039712,28,R1_9,200,OK,Thread Group 1 1-3,bin,true,,3968292,127,4,4,http://192.168.109.128/large3.jpg,2,0,0
1701345039738,10,R1_5,200,OK,Thread Group 1 1-4,bin,true,,1367637,129,4,4,http://192.168.109.128/medium2.jpeg,2,0,1
1701345039787,1,R1_2,200,OK,Thread Group 1 1-2,bin,true,,100786,127,4,4,http://192.168.109.128/small2.jpg,1,0,0
1701345039859,19,R1_6,200,OK,Thread Group 1 1-1,bin,true,,1699255,129,4,4,http://192.168.109.128/medium3.jpeg,0,0,0
1701345040138,12,R1_4,200,OK,Thread Group 1 1-5,bin,true,,1088235,128,5,5,http://192.168.109.128/medium1.jpg,3,0,2
1701345040192,32,R1_8,200,OK,Thread Group 1 1-3,bin,true,,3919244,127,5,5,http://192.168.109.128/large2.jpg,1,0,0
1701345040217,13,R1_5,200,OK,Thread Group 1 1-4,bin,true,,1367636,129,5,5,http://192.168.109.128/medium2.jpeg,1,0,0
1701345040266,26,R1_9,200,OK,Thread Group 1 1-2,bin,true,,3968292,127,5,5,http://192.168.109.128/large3.jpg,1,0,0
1701345040338,4,R1_3,200,OK,Thread Group 1 1-1,bin,true,,121341,127,5,5,http://192.168.109.128/small3.jpg,1,0,0
1701345040539,29,R1_7,200,OK,Thread Group 1 1-6,bin,true,,3749357,127,6,6,http://192.168.109.128/large1.jpg,2,0,1
1701345040737,30,R1_8,200,OK,Thread Group 1 1-5,bin,true,,3919244,127,6,6,http://192.168.109.128/large2.jpg,2,0,0
1701345040791,25,R1_8,200,OK,Thread Group 1 1-3,bin,true,,3919244,127,6,6,http://192.168.109.128/large2.jpg,1,0,0
1701345040817,27,R1_8,200,OK,Thread Group 1 1-4,bin,true,,3919244,127,6,6,http://192.168.109.128/large2.jpg,0,0,0
1701345040866,34,R1_9,200,OK,Thread Group 1 1-2,bin,true,,3968292,127,6,6,http://192.168.109.128/large3.jpg,1,0,0
1701345040938,2,R1_1,200,OK,Thread Group 1 1-1,,true,,79349,128,7,7,http://192.168.109.128/small1.webp,2,0,0
1701345040939,29,R1_7,200,OK,Thread Group 1 1-7,bin,true,,3749357,127,7,7,http://192.168.109.128/large1.jpg,2,0,1
1701345041259,30,R1_8,200,OK,Thread Group 1 1-6,bin,true,,3919244,127,7,7,http://192.168.109.128/large2.jpg,1,0,0
1701345041338,13,R1_5,200,OK,Thread Group 1 1-8,bin,true,,1367637,129,8,8,http://192.168.109.128/medium2.jpeg,2,0,1
1701345041459,12,R1_5,200,OK,Thread Group 1 1-5,bin,true,,1367636,129,8,8,http://192.168.109.128/medium2.jpeg,1,0,0
1701345041513,9,R1_4,200,OK,Thread Group 1 1-3,bin,true,,1088234,128,8,8,http://192.168.109.128/medium1.jpg,2,0,0
1701345041537,11,R1_5,200,OK,Thread Group 1 1-4,bin,true,,1367636,129,8,8,http://192.168.109.128/medium2.jpeg,1,0,0
1701345041586,13,R1_5,200,OK,Thread Group 1 1-2,bin,true,,1367636,129,8,8,http://192.168.109.128/medium2.jpeg,1,0,0
1701345041740,3,R1_3,200,OK,Thread Group 1 1-9,bin,true,,121342,127,9,9,http://192.168.109.128/small3.jpg,2,0,1
1701345041780,4,R1_2,200,OK,Thread Group 1 1-1,bin,true,,100786,127,9,9,http://192.168.109.128/small2.jpg,2,0,0
1701345041779,10,R1_5,200,OK,Thread Group 1 1-7,bin,true,,1367636,129,9,9,http://192.168.109.128/medium2.jpeg,1,0,0
1701345042100,13,R1_5,200,OK,Thread Group 1 1-6,bin,true,,1367636,129,9,9,http://192.168.109.128/medium2.jpeg,1,0,0
1701345042140,3,R1_1,200,OK,Thread Group 1 1-10,,true,,79350,128,10,10,http://192.168.109.128/small1.webp,2,0,1
1701345042298,10,R1_4,200,OK,Thread Group 1 1-8,bin,true,,1088234,128,10,10,http://192.168.109.128/medium1.jpg,1,0,0
1701345042420,10,R1_4,200,OK,Thread Group 1 1-5,bin,true,,1088234,128,10,10,http://192.168.109.128/medium1.jpg,1,0,0
1701345042473,9,R1_5,200,OK,Thread Group 1 1-3,bin,true,,1367636,129,10,10,http://192.168.109.128/medium2.jpeg,1,0,0
1701345042497,7,R1_4,200,OK,Thread Group 1 1-4,bin,true,,1088234,128,10,10,http://192.168.109.128/medium1.jpg,0,0,0
1701345042539,9,R1_4,200,OK,Thread Group 1 1-11,bin,true,,1088235,128,11,11,http://192.168.109.128/medium1.jpg,1,0,1
1701345042546,4,R1_3,200,OK,Thread Group 1 1-2,bin,true,,121341,127,11,11,http://192.168.109.128/small3.jpg,1,0,0
1701345042819,31,R1_8,200,OK,Thread Group 1 1-9,bin,true,,3919244,127,11,11,http://192.168.109.128/large2.jpg,1,0,0
1701345042858,2,R1_3,200,OK,Thread Group 1 1-7,bin,true,,121341,127,11,11,http://192.168.109.128/small3.jpg,1,0,0
1701345042859,28,R1_8,200,OK,Thread Group 1 1-1,bin,true,,3919244,127,11,11,http://192.168.109.128/large2.jpg,2,0,0
1701345042939,13,R1_6,200,OK,Thread Group 1 1-12,bin,true,,1699256,129,12,12,http://192.168.109.128/medium3.jpeg,3,0,2
1701345043181,2,R1_1,200,OK,Thread Group 1 1-6,,true,,79349,128,12,12,http://192.168.109.128/small1.webp,1,0,0
1701345043339,14,R1_4,200,OK,Thread Group 1 1-10,bin,true,,1088234,128,13,13,http://192.168.109.128/medium1.jpg,2,0,0
1701345043340,40,R1_7,200,OK,Thread Group 1 1-13,bin,true,,3749357,127,13,13,http://192.168.109.128/large1.jpg,4,0,1
1701345043499,10,R1_5,200,OK,Thread Group 1 1-8,bin,true,,1367636,129,13,13,http://192.168.109.128/medium2.jpeg,1,0,0
1701345043619,15,R1_6,200,OK,Thread Group 1 1-5,bin,true,,1699255,129,13,13,http://192.168.109.128/medium3.jpeg,1,0,0
1701345043673,2,R1_3,200,OK,Thread Group 1 1-3,bin,true,,121341,127,13,13,http://192.168.109.128/small3.jpg,1,0,0
1701345043697,13,R1_5,200,OK,Thread Group 1 1-4,bin,true,,1367636,129,13,13,http://192.168.109.128/medium2.jpeg,1,0,0
1701345043739,22,R1_6,200,OK,Thread Group 1 1-14,bin,true,,1699256,129,14,14,http://192.168.109.128/medium3.jpeg,2,0,1
1701345043858,9,R1_5,200,OK,Thread Group 1 1-11,bin,true,,1367636,129,14,14,http://192.168.109.128/medium2.jpeg,1,0,0
1701345043868,31,R1_7,200,OK,Thread Group 1 1-2,bin,true,,3749356,127,14,14,http://192.168.109.128/large1.jpg,1,0,0
1701345044140,14,R1_6,200,OK,Thread Group 1 1-9,bin,true,,1699255,129,15,15,http://192.168.109.128/medium3.jpeg,1,0,0
1701345044139,16,R1_1,200,OK,Thread Group 1 1-15,,true,,79350,128,15,15,http://192.168.109.128/small1.webp,2,0,1
1701345044178,2,R1_2,200,OK,Thread Group 1 1-7,bin,true,,100786,127,15,15,http://192.168.109.128/small2.jpg,1,0,0
1701345044179,27,R1_8,200,OK,Thread Group 1 1-1,bin,true,,3919244,127,15,15,http://192.168.109.128/large2.jpg,1,0,0
1701345044382,13,R1_6,200,OK,Thread Group 1 1-12,bin,true,,1699255,129,15,15,http://192.168.109.128/medium3.jpeg,1,0,0
